numero_lista,estudiante_id,materia,trimestre,seccion,semana,dia_sesion,tema,tipo_sesion,participaciones,anio_academico
1,anon_061,Algoritmos y Programación,2526-1,1,1,lunes,1,contenido,1,4
1,anon_061,Algoritmos y Programación,2526-1,1,1,miercoles,1,contenido,0,4
1,anon_061,Algoritmos y Programación,2526-1,1,2,lunes,2,contenido,0,4
1,anon_061,Algoritmos y Programación,2526-1,1,2,miercoles,3,contenido,1,4
1,anon_061,Algoritmos y Programación,2526-1,1,3,lunes,4,contenido,1,4
1,anon_061,Algoritmos y Programación,2526-1,1,3,miercoles,4,contenido,1,4
1,anon_061,Algoritmos y Programación,2526-1,1,4,lunes,5,contenido,0,4
1,anon_061,Algoritmos y Programación,2526-1,1,4,miercoles,0,repaso,0,4
1,anon_061,Algoritmos y Programación,2526-1,1,5,lunes,0,evaluacion,0,4
1,anon_061,Algoritmos y Programación,2526-1,1,5,miercoles,6,contenido,0,4
1,anon_061,Algoritmos y Programación,2526-1,1,6,lunes,0,evaluacion,0,4
1,anon_061,Algoritmos y Programación,2526-1,1,6,miercoles,7,contenido,0,4
1,anon_061,Algoritmos y Programación,2526-1,1,7,lunes,0,sin_clase,,4
1,anon_061,Algoritmos y Programación,2526-1,1,7,miercoles,7,contenido,1,4
1,anon_061,Algoritmos y Programación,2526-1,1,8,lunes,8,contenido,0,4
1,anon_061,Algoritmos y Programación,2526-1,1,8,miercoles,9,contenido,2,4
1,anon_061,Algoritmos y Programación,2526-1,1,9,lunes,10,contenido,0,4
1,anon_061,Algoritmos y Programación,2526-1,1,9,miercoles,0,evaluacion,0,4
1,anon_061,Algoritmos y Programación,2526-1,1,10,lunes,10,contenido,0,4
1,anon_061,Algoritmos y Programación,2526-1,1,10,miercoles,10,contenido,1,4
1,anon_061,Algoritmos y Programación,2526-1,1,11,lunes,0,evaluacion,1,4
1,anon_061,Algoritmos y Programación,2526-1,1,11,miercoles,0,evaluacion,0,4
1,anon_061,Algoritmos y Programación,2526-1,1,12,lunes,0,administrativa,0,4
1,anon_061,Algoritmos y Programación,2526-1,1,12,miercoles,0,administrativa,0,4
2,anon_062,Algoritmos y Programación,2526-1,1,1,lunes,1,contenido,1,1
2,anon_062,Algoritmos y Programación,2526-1,1,1,miercoles,1,contenido,0,1
2,anon_062,Algoritmos y Programación,2526-1,1,2,lunes,2,contenido,0,1
2,anon_062,Algoritmos y Programación,2526-1,1,2,miercoles,3,contenido,0,1
2,anon_062,Algoritmos y Programación,2526-1,1,3,lunes,4,contenido,2,1
2,anon_062,Algoritmos y Programación,2526-1,1,3,miercoles,4,contenido,1,1
2,anon_062,Algoritmos y Programación,2526-1,1,4,lunes,5,contenido,2,1
2,anon_062,Algoritmos y Programación,2526-1,1,4,miercoles,0,repaso,0,1
2,anon_062,Algoritmos y Programación,2526-1,1,5,lunes,0,evaluacion,0,1
2,anon_062,Algoritmos y Programación,2526-1,1,5,miercoles,6,contenido,0,1
2,anon_062,Algoritmos y Programación,2526-1,1,6,lunes,0,evaluacion,0,1
2,anon_062,Algoritmos y Programación,2526-1,1,6,miercoles,7,contenido,1,1
2,anon_062,Algoritmos y Programación,2526-1,1,7,lunes,0,sin_clase,,1
2,anon_062,Algoritmos y Programación,2526-1,1,7,miercoles,7,contenido,0,1
2,anon_062,Algoritmos y Programación,2526-1,1,8,lunes,8,contenido,0,1
2,anon_062,Algoritmos y Programación,2526-1,1,8,miercoles,9,contenido,0,1
2,anon_062,Algoritmos y Programación,2526-1,1,9,lunes,10,contenido,4,1
2,anon_062,Algoritmos y Programación,2526-1,1,9,miercoles,0,evaluacion,0,1
2,anon_062,Algoritmos y Programación,2526-1,1,10,lunes,10,contenido,1,1
2,anon_062,Algoritmos y Programación,2526-1,1,10,miercoles,10,contenido,1,1
2,anon_062,Algoritmos y Programación,2526-1,1,11,lunes,0,evaluacion,0,1
2,anon_062,Algoritmos y Programación,2526-1,1,11,miercoles,0,evaluacion,0,1
2,anon_062,Algoritmos y Programación,2526-1,1,12,lunes,0,administrativa,0,1
2,anon_062,Algoritmos y Programación,2526-1,1,12,miercoles,0,administrativa,0,1
3,anon_063,Algoritmos y Programación,2526-1,1,1,lunes,1,contenido,0,
3,anon_063,Algoritmos y Programación,2526-1,1,1,miercoles,1,contenido,1,
3,anon_063,Algoritmos y Programación,2526-1,1,2,lunes,2,contenido,0,
3,anon_063,Algoritmos y Programación,2526-1,1,2,miercoles,3,contenido,0,
3,anon_063,Algoritmos y Programación,2526-1,1,3,lunes,4,contenido,1,
3,anon_063,Algoritmos y Programación,2526-1,1,3,miercoles,4,contenido,0,
3,anon_063,Algoritmos y Programación,2526-1,1,4,lunes,5,contenido,3,
3,anon_063,Algoritmos y Programación,2526-1,1,4,miercoles,0,repaso,0,
3,anon_063,Algoritmos y Programación,2526-1,1,5,lunes,0,evaluacion,0,
3,anon_063,Algoritmos y Programación,2526-1,1,5,miercoles,6,contenido,1,
3,anon_063,Algoritmos y Programación,2526-1,1,6,lunes,0,evaluacion,0,
3,anon_063,Algoritmos y Programación,2526-1,1,6,miercoles,7,contenido,0,
3,anon_063,Algoritmos y Programación,2526-1,1,7,lunes,0,sin_clase,,
3,anon_063,Algoritmos y Programación,2526-1,1,7,miercoles,7,contenido,1,
3,anon_063,Algoritmos y Programación,2526-1,1,8,lunes,8,contenido,1,
3,anon_063,Algoritmos y Programación,2526-1,1,8,miercoles,9,contenido,2,
3,anon_063,Algoritmos y Programación,2526-1,1,9,lunes,10,contenido,1,
3,anon_063,Algoritmos y Programación,2526-1,1,9,miercoles,0,evaluacion,0,
3,anon_063,Algoritmos y Programación,2526-1,1,10,lunes,10,contenido,0,
3,anon_063,Algoritmos y Programación,2526-1,1,10,miercoles,10,contenido,1,
3,anon_063,Algoritmos y Programación,2526-1,1,11,lunes,0,evaluacion,3,
3,anon_063,Algoritmos y Programación,2526-1,1,11,miercoles,0,evaluacion,0,
3,anon_063,Algoritmos y Programación,2526-1,1,12,lunes,0,administrativa,0,
3,anon_063,Algoritmos y Programación,2526-1,1,12,miercoles,0,administrativa,0,
4,anon_064,Algoritmos y Programación,2526-1,1,1,lunes,1,contenido,1,1
4,anon_064,Algoritmos y Programación,2526-1,1,1,miercoles,1,contenido,0,1
4,anon_064,Algoritmos y Programación,2526-1,1,2,lunes,2,contenido,0,1
4,anon_064,Algoritmos y Programación,2526-1,1,2,miercoles,3,contenido,0,1
4,anon_064,Algoritmos y Programación,2526-1,1,3,lunes,4,contenido,0,1
4,anon_064,Algoritmos y Programación,2526-1,1,3,miercoles,4,contenido,0,1
4,anon_064,Algoritmos y Programación,2526-1,1,4,lunes,5,contenido,0,1
4,anon_064,Algoritmos y Programación,2526-1,1,4,miercoles,0,repaso,0,1
4,anon_064,Algoritmos y Programación,2526-1,1,5,lunes,0,evaluacion,0,1
4,anon_064,Algoritmos y Programación,2526-1,1,5,miercoles,6,contenido,0,1
4,anon_064,Algoritmos y Programación,2526-1,1,6,lunes,0,evaluacion,0,1
4,anon_064,Algoritmos y Programación,2526-1,1,6,miercoles,7,contenido,0,1
4,anon_064,Algoritmos y Programación,2526-1,1,7,lunes,0,sin_clase,,1
4,anon_064,Algoritmos y Programación,2526-1,1,7,miercoles,7,contenido,0,1
4,anon_064,Algoritmos y Programación,2526-1,1,8,lunes,8,contenido,0,1
4,anon_064,Algoritmos y Programación,2526-1,1,8,miercoles,9,contenido,0,1
4,anon_064,Algoritmos y Programación,2526-1,1,9,lunes,10,contenido,0,1
4,anon_064,Algoritmos y Programación,2526-1,1,9,miercoles,0,evaluacion,0,1
4,anon_064,Algoritmos y Programación,2526-1,1,10,lunes,10,contenido,0,1
4,anon_064,Algoritmos y Programación,2526-1,1,10,miercoles,10,contenido,1,1
4,anon_064,Algoritmos y Programación,2526-1,1,11,lunes,0,evaluacion,0,1
4,anon_064,Algoritmos y Programación,2526-1,1,11,miercoles,0,evaluacion,0,1
4,anon_064,Algoritmos y Programación,2526-1,1,12,lunes,0,administrativa,0,1
4,anon_064,Algoritmos y Programación,2526-1,1,12,miercoles,0,administrativa,0,1
5,anon_065,Algoritmos y Programación,2526-1,1,1,lunes,1,contenido,1,
5,anon_065,Algoritmos y Programación,2526-1,1,1,miercoles,1,contenido,0,
5,anon_065,Algoritmos y Programación,2526-1,1,2,lunes,2,contenido,0,
5,anon_065,Algoritmos y Programación,2526-1,1,2,miercoles,3,contenido,1,
5,anon_065,Algoritmos y Programación,2526-1,1,3,lunes,4,contenido,1,
