numero_lista,estudiante_id,materia,trimestre,seccion,semana,dia_sesion,tema,tipo_sesion,participaciones,anio_academico
1,anon_186,Computación Emergente,2425-3,2,1,martes,3,contenido,0,5
1,anon_186,Computación Emergente,2425-3,2,2,martes,3,contenido,0,5
1,anon_186,Computación Emergente,2425-3,2,3,martes,3,contenido,0,5
1,anon_186,Computación Emergente,2425-3,2,4,martes,0,evaluacion,0,5
1,anon_186,Computación Emergente,2425-3,2,5,martes,3,contenido,0,5
1,anon_186,Computación Emergente,2425-3,2,6,martes,3,contenido,0,5
1,anon_186,Computación Emergente,2425-3,2,7,martes,5,contenido,0,5
1,anon_186,Computación Emergente,2425-3,2,8,martes,0,evaluacion,0,5
1,anon_186,Computación Emergente,2425-3,2,9,martes,6,contenido,0,5
1,anon_186,Computación Emergente,2425-3,2,10,martes,0,sin_clase,,5
1,anon_186,Computación Emergente,2425-3,2,11,martes,6,contenido,0,5
1,anon_186,Computación Emergente,2425-3,2,12,martes,0,evaluacion,0,5
2,anon_187,Computación Emergente,2425-3,2,1,martes,3,contenido,0,3
2,anon_187,Computación Emergente,2425-3,2,2,martes,3,contenido,1,3
2,anon_187,Computación Emergente,2425-3,2,3,martes,3,contenido,1,3
2,anon_187,Computación Emergente,2425-3,2,4,martes,0,evaluacion,0,3
2,anon_187,Computación Emergente,2425-3,2,5,martes,3,contenido,1,3
2,anon_187,Computación Emergente,2425-3,2,6,martes,3,contenido,1,3
2,anon_187,Computación Emergente,2425-3,2,7,martes,5,contenido,1,3
2,anon_187,Computación Emergente,2425-3,2,8,martes,0,evaluacion,0,3
2,anon_187,Computación Emergente,2425-3,2,9,martes,6,contenido,1,3
2,anon_187,Computación Emergente,2425-3,2,10,martes,0,sin_clase,,3
2,anon_187,Computación Emergente,2425-3,2,11,martes,6,contenido,1,3
2,anon_187,Computación Emergente,2425-3,2,12,martes,0,evaluacion,0,3
3,anon_188,Computación Emergente,2425-3,2,1,martes,3,contenido,0,5
3,anon_188,Computación Emergente,2425-3,2,2,martes,3,contenido,0,5
3,anon_188,Computación Emergente,2425-3,2,3,martes,3,contenido,0,5
3,anon_188,Computación Emergente,2425-3,2,4,martes,0,evaluacion,0,5
3,anon_188,Computación Emergente,2425-3,2,5,martes,3,contenido,0,5
3,anon_188,Computación Emergente,2425-3,2,6,martes,3,contenido,0,5
3,anon_188,Computación Emergente,2425-3,2,7,martes,5,contenido,0,5
3,anon_188,Computación Emergente,2425-3,2,8,martes,0,evaluacion,0,5
3,anon_188,Computación Emergente,2425-3,2,9,martes,6,contenido,0,5
3,anon_188,Computación Emergente,2425-3,2,10,martes,0,sin_clase,,5
3,anon_188,Computación Emergente,2425-3,2,11,martes,6,contenido,0,5
3,anon_188,Computación Emergente,2425-3,2,12,martes,0,evaluacion,0,5
4,anon_189,Computación Emergente,2425-3,2,1,martes,3,contenido,0,4
4,anon_189,Computación Emergente,2425-3,2,2,martes,3,contenido,0,4
4,anon_189,Computación Emergente,2425-3,2,3,martes,3,contenido,0,4
4,anon_189,Computación Emergente,2425-3,2,4,martes,0,evaluacion,0,4
4,anon_189,Computación Emergente,2425-3,2,5,martes,3,contenido,0,4
4,anon_189,Computación Emergente,2425-3,2,6,martes,3,contenido,1,4
4,anon_189,Computación Emergente,2425-3,2,7,martes,5,contenido,1,4
4,anon_189,Computación Emergente,2425-3,2,8,martes,0,evaluacion,0,4
4,anon_189,Computación Emergente,2425-3,2,9,martes,6,contenido,0,4
4,anon_189,Computación Emergente,2425-3,2,10,martes,0,sin_clase,,4
4,anon_189,Computación Emergente,2425-3,2,11,martes,6,contenido,0,4
4,anon_189,Computación Emergente,2425-3,2,12,martes,0,evaluacion,0,4
5,anon_190,Computación Emergente,2425-3,2,1,martes,3,contenido,0,5
5,anon_190,Computación Emergente,2425-3,2,2,martes,3,contenido,0,5
5,anon_190,Computación Emergente,2425-3,2,3,martes,3,contenido,0,5
5,anon_190,Computación Emergente,2425-3,2,4,martes,0,evaluacion,0,5
5,anon_190,Computación Emergente,2425-3,2,5,martes,3,contenido,0,5
5,anon_190,Computación Emergente,2425-3,2,6,martes,3,contenido,0,5
5,anon_190,Computación Emergente,2425-3,2,7,martes,5,contenido,0,5
5,anon_190,Computación Emergente,2425-3,2,8,martes,0,evaluacion,0,5
5,anon_190,Computación Emergente,2425-3,2,9,martes,6,contenido,0,5
5,anon_190,Computación Emergente,2425-3,2,10,martes,0,sin_clase,,5
5,anon_190,Computación Emergente,2425-3,2,11,martes,6,contenido,0,5
5,anon_190,Computación Emergente,2425-3,2,12,martes,0,evaluacion,0,5
6,anon_191,Computación Emergente,2425-3,2,1,martes,3,contenido,0,5
6,anon_191,Computación Emergente,2425-3,2,2,martes,3,contenido,0,5
6,anon_191,Computación Emergente,2425-3,2,3,martes,3,contenido,0,5
6,anon_191,Computación Emergente,2425-3,2,4,martes,0,evaluacion,0,5
6,anon_191,Computación Emergente,2425-3,2,5,martes,3,contenido,0,5
6,anon_191,Computación Emergente,2425-3,2,6,martes,3,contenido,0,5
6,anon_191,Computación Emergente,2425-3,2,7,martes,5,contenido,0,5
6,anon_191,Computación Emergente,2425-3,2,8,martes,0,evaluacion,0,5
6,anon_191,Computación Emergente,2425-3,2,9,martes,6,contenido,0,5
6,anon_191,Computación Emergente,2425-3,2,10,martes,0,sin_clase,,5
6,anon_191,Computación Emergente,2425-3,2,11,martes,6,contenido,0,5
6,anon_191,Computación Emergente,2425-3,2,12,martes,0,evaluacion,0,5
7,anon_192,Computación Emergente,2425-3,2,1,martes,3,contenido,1,5
7,anon_192,Computación Emergente,2425-3,2,2,martes,3,contenido,1,5
7,anon_192,Computación Emergente,2425-3,2,3,martes,3,contenido,0,5
7,anon_192,Computación Emergente,2425-3,2,4,martes,0,evaluacion,0,5
7,anon_192,Computación Emergente,2425-3,2,5,martes,3,contenido,0,5
7,anon_192,Computación Emergente,2425-3,2,6,martes,3,contenido,1,5
7,anon_192,Computación Emergente,2425-3,2,7,martes,5,contenido,0,5
7,anon_192,Computación Emergente,2425-3,2,8,martes,0,evaluacion,0,5
7,anon_192,Computación Emergente,2425-3,2,9,martes,6,contenido,1,5
7,anon_192,Computación Emergente,2425-3,2,10,martes,0,sin_clase,,5
7,anon_192,Computación Emergente,2425-3,2,11,martes,6,contenido,1,5
7,anon_192,Computación Emergente,2425-3,2,12,martes,0,evaluacion,0,5
8,anon_193,Computación Emergente,2425-3,2,1,martes,3,contenido,0,4
8,anon_193,Computación Emergente,2425-3,2,2,martes,3,contenido,0,4
8,anon_193,Computación Emergente,2425-3,2,3,martes,3,contenido,0,4
8,anon_193,Computación Emergente,2425-3,2,4,martes,0,evaluacion,0,4
8,anon_193,Computación Emergente,2425-3,2,5,martes,3,contenido,0,4
8,anon_193,Computación Emergente,2425-3,2,6,martes,3,contenido,0,4
8,anon_193,Computación Emergente,2425-3,2,7,martes,5,contenido,0,4
8,anon_193,Computación Emergente,2425-3,2,8,martes,0,evaluacion,0,4
8,anon_193,Computación Emergente,2425-3,2,9,martes,6,contenido,0,4
8,anon_193,Computación Emergente,2425-3,2,10,martes,0,sin_clase,,4
8,anon_193,Computación Emergente,2425-3,2,11,martes,6,contenido,0,4
8,anon_193,Computación Emergente,2425-3,2,12,martes,0,evaluacion,0,4
9,anon_194,Computación Emergente,2425-3,2,1,martes,3,contenido,0,5
9,anon_194,Computación Emergente,2425-3,2,2,martes,3,contenido,0,5
9,anon_194,Computación Emergente,2425-3,2,3,martes,3,contenido,0,5
9,anon_194,Computación Emergente,2425-3,2,4,martes,0,evaluacion,0,5
9,anon_194,Computación Emergente,2425-3,2,5,martes,3,contenido,0,5
9,anon_194,Computación Emergente,2425-3,2,6,martes,3,contenido,0,5
9,anon_194,Computación Emergente,2425-3,2,7,martes,5,contenido,0,5
9,anon_194,Computación Emergente,2425-3,2,8,martes,0,evaluacion,0,5
9,anon_194,Computación Emergente,2425-3,2,9,martes,6,contenido,0,5
9,anon_194,Computación Emergente,2425-3,2,10,martes,0,sin_clase,,5
9,anon_194,Computación Emergente,2425-3,2,11,martes,6,contenido,1,5
9,anon_194,Computación Emergente,2425-3,2,12,martes,0,evaluacion,0,5
10,anon_195,Computación Emergente,2425-3,2,1,martes,3,contenido,0,5
10,anon_195,Computación Emergente,2425-3,2,2,martes,3,contenido,0,5
10,anon_195,Computación Emergente,2425-3,2,3,martes,3,contenido,0,5
10,anon_195,Computación Emergente,2425-3,2,4,martes,0,evaluacion,0,5
10,anon_195,Computación Emergente,2425-3,2,5,martes,3,contenido,0,5
10,anon_195,Computación Emergente,2425-3,2,6,martes,3,contenido,0,5
10,anon_195,Computación Emergente,2425-3,2,7,martes,5,contenido,0,5
10,anon_195,Computación Emergente,2425-3,2,8,martes,0,evaluacion,0,5
10,anon_195,Computación Emergente,2425-3,2,9,martes,6,contenido,0,5
10,anon_195,Computación Emergente,2425-3,2,10,martes,0,sin_clase,,5
10,anon_195,Computación Emergente,2425-3,2,11,martes,6,contenido,0,5
10,anon_195,Computación Emergente,2425-3,2,12,martes,0,evaluacion,0,5
11,anon_196,Computación Emergente,2425-3,2,1,martes,3,contenido,0,5
11,anon_196,Computación Emergente,2425-3,2,2,martes,3,contenido,0,5
11,anon_196,Computación Emergente,2425-3,2,3,martes,3,contenido,0,5
11,anon_196,Computación Emergente,2425-3,2,4,martes,0,evaluacion,0,5
11,anon_196,Computación Emergente,2425-3,2,5,martes,3,contenido,0,5
11,anon_196,Computación Emergente,2425-3,2,6,martes,3,contenido,1,5
