numero_lista,estudiante_id,materia,trimestre,seccion,semana,dia_sesion,tema,tipo_sesion,participaciones,asistencia,anio_academico
1,anon_220,Computación Emergente,2526-1,1,1,martes,1,contenido,0,,5
1,anon_220,Computación Emergente,2526-1,1,1,jueves,2,contenido,1,1,5
1,anon_220,Computación Emergente,2526-1,1,2,martes,3,contenido,0,,5
1,anon_220,Computación Emergente,2526-1,1,2,jueves,21,contenido,0,,5
1,anon_220,Computación Emergente,2526-1,1,3,martes,22,contenido,0,,5
1,anon_220,Computación Emergente,2526-1,1,3,jueves,22,contenido,0,,5
1,anon_220,Computación Emergente,2526-1,1,4,martes,22,contenido,0,,5
1,anon_220,Computación Emergente,2526-1,1,4,jueves,0,evaluacion,0,,5
1,anon_220,Computación Emergente,2526-1,1,5,martes,0,evaluacion,0,,5
1,anon_220,Computación Emergente,2526-1,1,5,jueves,10,contenido,0,,5
1,anon_220,Computación Emergente,2526-1,1,6,martes,26,contenido,0,,5
1,anon_220,Computación Emergente,2526-1,1,6,jueves,0,evaluacion,0,,5
1,anon_220,Computación Emergente,2526-1,1,7,martes,12,contenido,0,,5
1,anon_220,Computación Emergente,2526-1,1,7,jueves,13,contenido,0,,5
1,anon_220,Computación Emergente,2526-1,1,8,martes,14,contenido,0,,5
1,anon_220,Computación Emergente,2526-1,1,8,jueves,0,evaluacion,0,,5
1,anon_220,Computación Emergente,2526-1,1,9,martes,0,evaluacion,0,,5
1,anon_220,Computación Emergente,2526-1,1,9,jueves,30,contenido,0,,5
1,anon_220,Computación Emergente,2526-1,1,10,martes,15,contenido,0,,5
1,anon_220,Computación Emergente,2526-1,1,10,jueves,0,evaluacion,0,,5
1,anon_220,Computación Emergente,2526-1,1,11,martes,16,contenido,0,,5
1,anon_220,Computación Emergente,2526-1,1,11,jueves,0,evaluacion,0,,5
1,anon_220,Computación Emergente,2526-1,1,12,martes,0,evaluacion,0,,5
1,anon_220,Computación Emergente,2526-1,1,12,jueves,0,administrativa,0,,5
2,anon_221,Computación Emergente,2526-1,1,1,martes,1,contenido,0,,3
2,anon_221,Computación Emergente,2526-1,1,1,jueves,2,contenido,0,,3
2,anon_221,Computación Emergente,2526-1,1,2,martes,3,contenido,1,1,3
2,anon_221,Computación Emergente,2526-1,1,2,jueves,21,contenido,1,1,3
2,anon_221,Computación Emergente,2526-1,1,3,martes,22,contenido,1,1,3
2,anon_221,Computación Emergente,2526-1,1,3,jueves,22,contenido,1,1,3
2,anon_221,Computación Emergente,2526-1,1,4,martes,22,contenido,1,1,3
2,anon_221,Computación Emergente,2526-1,1,4,jueves,0,evaluacion,0,,3
2,anon_221,Computación Emergente,2526-1,1,5,martes,0,evaluacion,0,,3
2,anon_221,Computación Emergente,2526-1,1,5,jueves,10,contenido,1,1,3
2,anon_221,Computación Emergente,2526-1,1,6,martes,26,contenido,1,1,3
2,anon_221,Computación Emergente,2526-1,1,6,jueves,0,evaluacion,0,,3
2,anon_221,Computación Emergente,2526-1,1,7,martes,12,contenido,1,1,3
