numero_lista,estudiante_id,materia,trimestre,seccion,semana,dia_sesion,tema,tipo_sesion,participaciones,asistencia,anio_academico
1,anon_283,Computación Emergente,2526-3,1,1,martes,1,contenido,0,,5
1,anon_283,Computación Emergente,2526-3,1,1,jueves,2,contenido,0,,5
1,anon_283,Computación Emergente,2526-3,1,2,martes,3,contenido,0,,5
1,anon_283,Computación Emergente,2526-3,1,2,jueves,4,contenido,0,,5
1,anon_283,Computación Emergente,2526-3,1,3,martes,5,contenido,0,,5
1,anon_283,Computación Emergente,2526-3,1,3,jueves,6,contenido,1,1,5
1,anon_283,Computación Emergente,2526-3,1,4,martes,7,contenido,0,,5
1,anon_283,Computación Emergente,2526-3,1,4,jueves,8,contenido,1,1,5
1,anon_283,Computación Emergente,2526-3,1,5,martes,9,contenido,0,,5
1,anon_283,Computación Emergente,2526-3,1,5,jueves,0,evaluacion,0,,5
1,anon_283,Computación Emergente,2526-3,1,6,martes,0,evaluacion,0,,5
1,anon_283,Computación Emergente,2526-3,1,6,jueves,0,evaluacion,0,,5
1,anon_283,Computación Emergente,2526-3,1,7,martes,10,contenido,0,,5
1,anon_283,Computación Emergente,2526-3,1,7,jueves,11,contenido,1,1,5
1,anon_283,Computación Emergente,2526-3,1,8,martes,12,contenido,0,,5
1,anon_283,Computación Emergente,2526-3,1,8,jueves,13,contenido,0,,5
1,anon_283,Computación Emergente,2526-3,1,9,martes,14,contenido,0,,5
1,anon_283,Computación Emergente,2526-3,1,9,jueves,15,contenido,0,,5
1,anon_283,Computación Emergente,2526-3,1,10,martes,16,contenido,0,,5
1,anon_283,Computación Emergente,2526-3,1,10,jueves,0,evaluacion,0,,5
1,anon_283,Computación Emergente,2526-3,1,11,martes,17,contenido,0,,5
1,anon_283,Computación Emergente,2526-3,1,11,jueves,0,evaluacion,0,,5
1,anon_283,Computación Emergente,2526-3,1,12,martes,0,evaluacion,0,,5
1,anon_283,Computación Emergente,2526-3,1,12,jueves,0,administrativa,0,,5
2,anon_284,Computación Emergente,2526-3,1,1,martes,1,contenido,0,,4
2,anon_284,Computación Emergente,2526-3,1,1,jueves,2,contenido,1,1,4
2,anon_284,Computación Emergente,2526-3,1,2,martes,3,contenido,2,1,4
2,anon_284,Computación Emergente,2526-3,1,2,jueves,4,contenido,2,1,4
2,anon_284,Computación Emergente,2526-3,1,3,martes,5,contenido,1,1,4
2,anon_284,Computación Emergente,2526-3,1,3,jueves,6,contenido,1,1,4
2,anon_284,Computación Emergente,2526-3,1,4,martes,7,contenido,2,1,4
2,anon_284,Computación Emergente,2526-3,1,4,jueves,8,contenido,1,1,4
2,anon_284,Computación Emergente,2526-3,1,5,martes,9,contenido,1,1,4
2,anon_284,Computación Emergente,2526-3,1,5,jueves,0,evaluacion,0,,4
2,anon_284,Computación Emergente,2526-3,1,6,martes,0,evaluacion,0,,4
2,anon_284,Computación Emergente,2526-3,1,6,jueves,0,evaluacion,0,,4
2,anon_284,Computación Emergente,2526-3,1,7,martes,10,contenido,1,1,4
