numero_lista,estudiante_id,materia,trimestre,seccion,semana,dia_sesion,tema,tipo_sesion,participaciones,anio_academico
1,anon_031,Estructura de Datos,2526-2,2,1,lunes,1,contenido,0,3
1,anon_031,Estructura de Datos,2526-2,2,1,miercoles,1,contenido,0,3
1,anon_031,Estructura de Datos,2526-2,2,2,lunes,2,contenido,2,3
1,anon_031,Estructura de Datos,2526-2,2,2,miercoles,2,contenido,0,3
1,anon_031,Estructura de Datos,2526-2,2,3,lunes,3,contenido,0,3
1,anon_031,Estructura de Datos,2526-2,2,3,miercoles,4,contenido,1,3
1,anon_031,Estructura de Datos,2526-2,2,4,lunes,5,contenido,0,3
1,anon_031,Estructura de Datos,2526-2,2,4,miercoles,5,contenido,0,3
1,anon_031,Estructura de Datos,2526-2,2,5,lunes,6,contenido,0,3
1,anon_031,Estructura de Datos,2526-2,2,5,miercoles,6,contenido,0,3
1,anon_031,Estructura de Datos,2526-2,2,6,lunes,0,evaluacion,0,3
1,anon_031,Estructura de Datos,2526-2,2,6,miercoles,7,contenido,0,3
1,anon_031,Estructura de Datos,2526-2,2,7,lunes,8,contenido,0,3
1,anon_031,Estructura de Datos,2526-2,2,7,miercoles,0,evaluacion,0,3
1,anon_031,Estructura de Datos,2526-2,2,8,lunes,9,contenido,0,3
1,anon_031,Estructura de Datos,2526-2,2,8,miercoles,9,contenido,0,3
1,anon_031,Estructura de Datos,2526-2,2,9,lunes,10,contenido,0,3
1,anon_031,Estructura de Datos,2526-2,2,9,miercoles,10,contenido,0,3
1,anon_031,Estructura de Datos,2526-2,2,10,lunes,11,contenido,0,3
1,anon_031,Estructura de Datos,2526-2,2,10,miercoles,11,contenido,0,3
1,anon_031,Estructura de Datos,2526-2,2,11,lunes,12,contenido,0,3
1,anon_031,Estructura de Datos,2526-2,2,11,miercoles,0,evaluacion,0,3
1,anon_031,Estructura de Datos,2526-2,2,12,lunes,13,contenido,0,3
1,anon_031,Estructura de Datos,2526-2,2,12,miercoles,0,evaluacion,0,3
2,anon_347,Estructura de Datos,2526-2,2,1,lunes,1,contenido,2,3
2,anon_347,Estructura de Datos,2526-2,2,1,miercoles,1,contenido,0,3
2,anon_347,Estructura de Datos,2526-2,2,2,lunes,2,contenido,0,3
2,anon_347,Estructura de Datos,2526-2,2,2,miercoles,2,contenido,0,3
2,anon_347,Estructura de Datos,2526-2,2,3,lunes,3,contenido,1,3
2,anon_347,Estructura de Datos,2526-2,2,3,miercoles,4,contenido,0,3
2,anon_347,Estructura de Datos,2526-2,2,4,lunes,5,contenido,0,3
2,anon_347,Estructura de Datos,2526-2,2,4,miercoles,5,contenido,0,3
2,anon_347,Estructura de Datos,2526-2,2,5,lunes,6,contenido,0,3
2,anon_347,Estructura de Datos,2526-2,2,5,miercoles,6,contenido,2,3
2,anon_347,Estructura de Datos,2526-2,2,6,lunes,0,evaluacion,0,3
2,anon_347,Estructura de Datos,2526-2,2,6,miercoles,7,contenido,2,3
2,anon_347,Estructura de Datos,2526-2,2,7,lunes,8,contenido,0,3
2,anon_347,Estructura de Datos,2526-2,2,7,miercoles,0,evaluacion,0,3
2,anon_347,Estructura de Datos,2526-2,2,8,lunes,9,contenido,0,3
2,anon_347,Estructura de Datos,2526-2,2,8,miercoles,9,contenido,0,3
2,anon_347,Estructura de Datos,2526-2,2,9,lunes,10,contenido,0,3
2,anon_347,Estructura de Datos,2526-2,2,9,miercoles,10,contenido,0,3
2,anon_347,Estructura de Datos,2526-2,2,10,lunes,11,contenido,0,3
2,anon_347,Estructura de Datos,2526-2,2,10,miercoles,11,contenido,0,3
2,anon_347,Estructura de Datos,2526-2,2,11,lunes,12,contenido,0,3
2,anon_347,Estructura de Datos,2526-2,2,11,miercoles,0,evaluacion,0,3
2,anon_347,Estructura de Datos,2526-2,2,12,lunes,13,contenido,2,3
2,anon_347,Estructura de Datos,2526-2,2,12,miercoles,0,evaluacion,0,3
3,anon_064,Estructura de Datos,2526-2,2,1,lunes,1,contenido,0,2
3,anon_064,Estructura de Datos,2526-2,2,1,miercoles,1,contenido,0,2
3,anon_064,Estructura de Datos,2526-2,2,2,lunes,2,contenido,0,2
3,anon_064,Estructura de Datos,2526-2,2,2,miercoles,2,contenido,0,2
3,anon_064,Estructura de Datos,2526-2,2,3,lunes,3,contenido,0,2
3,anon_064,Estructura de Datos,2526-2,2,3,miercoles,4,contenido,0,2
3,anon_064,Estructura de Datos,2526-2,2,4,lunes,5,contenido,0,2
3,anon_064,Estructura de Datos,2526-2,2,4,miercoles,5,contenido,0,2
3,anon_064,Estructura de Datos,2526-2,2,5,lunes,6,contenido,0,2
3,anon_064,Estructura de Datos,2526-2,2,5,miercoles,6,contenido,0,2
3,anon_064,Estructura de Datos,2526-2,2,6,lunes,0,evaluacion,0,2
3,anon_064,Estructura de Datos,2526-2,2,6,miercoles,7,contenido,0,2
3,anon_064,Estructura de Datos,2526-2,2,7,lunes,8,contenido,0,2
3,anon_064,Estructura de Datos,2526-2,2,7,miercoles,0,evaluacion,0,2
3,anon_064,Estructura de Datos,2526-2,2,8,lunes,9,contenido,0,2
3,anon_064,Estructura de Datos,2526-2,2,8,miercoles,9,contenido,0,2
3,anon_064,Estructura de Datos,2526-2,2,9,lunes,10,contenido,0,2
3,anon_064,Estructura de Datos,2526-2,2,9,miercoles,10,contenido,0,2
3,anon_064,Estructura de Datos,2526-2,2,10,lunes,11,contenido,0,2
3,anon_064,Estructura de Datos,2526-2,2,10,miercoles,11,contenido,0,2
3,anon_064,Estructura de Datos,2526-2,2,11,lunes,12,contenido,0,2
3,anon_064,Estructura de Datos,2526-2,2,11,miercoles,0,evaluacion,0,2
3,anon_064,Estructura de Datos,2526-2,2,12,lunes,13,contenido,0,2
3,anon_064,Estructura de Datos,2526-2,2,12,miercoles,0,evaluacion,0,2
4,anon_067,Estructura de Datos,2526-2,2,1,lunes,1,contenido,0,2
4,anon_067,Estructura de Datos,2526-2,2,1,miercoles,1,contenido,0,2
4,anon_067,Estructura de Datos,2526-2,2,2,lunes,2,contenido,1,2
