numero_lista,estudiante_id,materia,trimestre,seccion,semana,dia_sesion,tema,tipo_sesion,participaciones,asistencia,anio_academico
1,anon_004,Estructura de Datos,2526-3,2,1,lunes,1,contenido,0,0,2
1,anon_004,Estructura de Datos,2526-3,2,1,miercoles,1,contenido,0,0,2
1,anon_004,Estructura de Datos,2526-3,2,2,lunes,2,contenido,0,1,2
1,anon_004,Estructura de Datos,2526-3,2,2,miercoles,2,contenido,0,1,2
1,anon_004,Estructura de Datos,2526-3,2,3,lunes,3,contenido,0,1,2
1,anon_004,Estructura de Datos,2526-3,2,3,miercoles,4,contenido,0,1,2
1,anon_004,Estructura de Datos,2526-3,2,4,lunes,5,contenido,0,0,2
1,anon_004,Estructura de Datos,2526-3,2,4,miercoles,5,contenido,0,0,2
1,anon_004,Estructura de Datos,2526-3,2,5,lunes,6,contenido,2,1,2
1,anon_004,Estructura de Datos,2526-3,2,5,miercoles,6,contenido,0,0,2
1,anon_004,Estructura de Datos,2526-3,2,6,lunes,0,evaluacion,0,0,2
1,anon_004,Estructura de Datos,2526-3,2,6,miercoles,7,contenido,0,0,2
1,anon_004,Estructura de Datos,2526-3,2,7,lunes,8,contenido,0,0,2
1,anon_004,Estructura de Datos,2526-3,2,7,miercoles,0,evaluacion,0,0,2
1,anon_004,Estructura de Datos,2526-3,2,8,lunes,9,contenido,0,0,2
1,anon_004,Estructura de Datos,2526-3,2,8,miercoles,9,contenido,0,0,2
1,anon_004,Estructura de Datos,2526-3,2,9,lunes,10,contenido,2,1,2
1,anon_004,Estructura de Datos,2526-3,2,9,miercoles,10,contenido,1,1,2
1,anon_004,Estructura de Datos,2526-3,2,10,lunes,11,contenido,0,0,2
1,anon_004,Estructura de Datos,2526-3,2,10,miercoles,12,contenido,0,1,2
1,anon_004,Estructura de Datos,2526-3,2,11,lunes,0,evaluacion,2,1,2
1,anon_004,Estructura de Datos,2526-3,2,11,miercoles,13,contenido,0,0,2
1,anon_004,Estructura de Datos,2526-3,2,12,lunes,0,evaluacion,0,0,2
1,anon_004,Estructura de Datos,2526-3,2,12,miercoles,0,administrativa,0,0,2
2,anon_349,Estructura de Datos,2526-3,2,1,lunes,1,contenido,0,1,2
2,anon_349,Estructura de Datos,2526-3,2,1,miercoles,1,contenido,0,1,2
2,anon_349,Estructura de Datos,2526-3,2,2,lunes,2,contenido,0,1,2
2,anon_349,Estructura de Datos,2526-3,2,2,miercoles,2,contenido,0,1,2
2,anon_349,Estructura de Datos,2526-3,2,3,lunes,3,contenido,0,1,2
2,anon_349,Estructura de Datos,2526-3,2,3,miercoles,4,contenido,2,1,2
2,anon_349,Estructura de Datos,2526-3,2,4,lunes,5,contenido,0,1,2
2,anon_349,Estructura de Datos,2526-3,2,4,miercoles,5,contenido,2,1,2
2,anon_349,Estructura de Datos,2526-3,2,5,lunes,6,contenido,1,1,2
2,anon_349,Estructura de Datos,2526-3,2,5,miercoles,6,contenido,0,0,2
2,anon_349,Estructura de Datos,2526-3,2,6,lunes,0,evaluacion,0,0,2
2,anon_349,Estructura de Datos,2526-3,2,6,miercoles,7,contenido,0,0,2
2,anon_349,Estructura de Datos,2526-3,2,7,lunes,8,contenido,1,1,2
2,anon_349,Estructura de Datos,2526-3,2,7,miercoles,0,evaluacion,0,0,2
2,anon_349,Estructura de Datos,2526-3,2,8,lunes,9,contenido,0,1,2
2,anon_349,Estructura de Datos,2526-3,2,8,miercoles,9,contenido,0,0,2
2,anon_349,Estructura de Datos,2526-3,2,9,lunes,10,contenido,0,0,2
2,anon_349,Estructura de Datos,2526-3,2,9,miercoles,10,contenido,0,0,2
2,anon_349,Estructura de Datos,2526-3,2,10,lunes,11,contenido,0,0,2
2,anon_349,Estructura de Datos,2526-3,2,10,miercoles,12,contenido,0,1,2
2,anon_349,Estructura de Datos,2526-3,2,11,lunes,0,evaluacion,0,0,2
2,anon_349,Estructura de Datos,2526-3,2,11,miercoles,13,contenido,0,0,2
2,anon_349,Estructura de Datos,2526-3,2,12,lunes,0,evaluacion,0,0,2
2,anon_349,Estructura de Datos,2526-3,2,12,miercoles,0,administrativa,0,0,2
3,anon_324,Estructura de Datos,2526-3,2,1,lunes,1,contenido,0,0,5
3,anon_324,Estructura de Datos,2526-3,2,1,miercoles,1,contenido,0,0,5
3,anon_324,Estructura de Datos,2526-3,2,2,lunes,2,contenido,0,0,5
3,anon_324,Estructura de Datos,2526-3,2,2,miercoles,2,contenido,0,0,5
3,anon_324,Estructura de Datos,2526-3,2,3,lunes,3,contenido,0,0,5
3,anon_324,Estructura de Datos,2526-3,2,3,miercoles,4,contenido,0,0,5
3,anon_324,Estructura de Datos,2526-3,2,4,lunes,5,contenido,0,0,5
3,anon_324,Estructura de Datos,2526-3,2,4,miercoles,5,contenido,0,0,5
3,anon_324,Estructura de Datos,2526-3,2,5,lunes,6,contenido,0,0,5
3,anon_324,Estructura de Datos,2526-3,2,5,miercoles,6,contenido,0,0,5
3,anon_324,Estructura de Datos,2526-3,2,6,lunes,0,evaluacion,0,0,5
3,anon_324,Estructura de Datos,2526-3,2,6,miercoles,7,contenido,0,0,5
3,anon_324,Estructura de Datos,2526-3,2,7,lunes,8,contenido,0,0,5
3,anon_324,Estructura de Datos,2526-3,2,7,miercoles,0,evaluacion,0,0,5
3,anon_324,Estructura de Datos,2526-3,2,8,lunes,9,contenido,0,0,5
3,anon_324,Estructura de Datos,2526-3,2,8,miercoles,9,contenido,0,0,5
3,anon_324,Estructura de Datos,2526-3,2,9,lunes,10,contenido,0,0,5
3,anon_324,Estructura de Datos,2526-3,2,9,miercoles,10,contenido,0,0,5
3,anon_324,Estructura de Datos,2526-3,2,10,lunes,11,contenido,0,0,5
3,anon_324,Estructura de Datos,2526-3,2,10,miercoles,12,contenido,0,0,5
3,anon_324,Estructura de Datos,2526-3,2,11,lunes,0,evaluacion,0,0,5
3,anon_324,Estructura de Datos,2526-3,2,11,miercoles,13,contenido,0,0,5
3,anon_324,Estructura de Datos,2526-3,2,12,lunes,0,evaluacion,0,0,5
3,anon_324,Estructura de Datos,2526-3,2,12,miercoles,0,administrativa,0,0,5
4,anon_372,Estructura de Datos,2526-3,2,1,lunes,1,contenido,0,0,5
4,anon_372,Estructura de Datos,2526-3,2,1,miercoles,1,contenido,0,1,5
4,anon_372,Estructura de Datos,2526-3,2,2,lunes,2,contenido,0,0,5
4,anon_372,Estructura de Datos,2526-3,2,2,miercoles,2,contenido,0,0,5
4,anon_372,Estructura de Datos,2526-3,2,3,lunes,3,contenido,1,1,5
4,anon_372,Estructura de Datos,2526-3,2,3,miercoles,4,contenido,2,1,5
4,anon_372,Estructura de Datos,2526-3,2,4,lunes,5,contenido,2,1,5
4,anon_372,Estructura de Datos,2526-3,2,4,miercoles,5,contenido,0,0,5
4,anon_372,Estructura de Datos,2526-3,2,5,lunes,6,contenido,2,1,5
4,anon_372,Estructura de Datos,2526-3,2,5,miercoles,6,contenido,0,0,5
4,anon_372,Estructura de Datos,2526-3,2,6,lunes,0,evaluacion,0,0,5
4,anon_372,Estructura de Datos,2526-3,2,6,miercoles,7,contenido,1,1,5
4,anon_372,Estructura de Datos,2526-3,2,7,lunes,8,contenido,0,0,5
4,anon_372,Estructura de Datos,2526-3,2,7,miercoles,0,evaluacion,0,0,5
4,anon_372,Estructura de Datos,2526-3,2,8,lunes,9,contenido,0,0,5
4,anon_372,Estructura de Datos,2526-3,2,8,miercoles,9,contenido,0,0,5
4,anon_372,Estructura de Datos,2526-3,2,9,lunes,10,contenido,2,1,5
4,anon_372,Estructura de Datos,2526-3,2,9,miercoles,10,contenido,0,0,5
4,anon_372,Estructura de Datos,2526-3,2,10,lunes,11,contenido,0,0,5
4,anon_372,Estructura de Datos,2526-3,2,10,miercoles,12,contenido,0,0,5
4,anon_372,Estructura de Datos,2526-3,2,11,lunes,0,evaluacion,0,0,5
4,anon_372,Estructura de Datos,2526-3,2,11,miercoles,13,contenido,0,0,5
4,anon_372,Estructura de Datos,2526-3,2,12,lunes,0,evaluacion,0,0,5
4,anon_372,Estructura de Datos,2526-3,2,12,miercoles,0,administrativa,0,0,5
5,anon_326,Estructura de Datos,2526-3,2,1,lunes,1,contenido,0,1,3
5,anon_326,Estructura de Datos,2526-3,2,1,miercoles,1,contenido,0,0,3
