numero_lista,estudiante_id,materia,trimestre,seccion,semana,dia_sesion,tema,tipo_sesion,participaciones,anio_academico
1,anon_md_2526_2_1_001,Matemáticas Discretas,2526-2,1,1,martes,0,administrativa,0,2
1,anon_md_2526_2_1_001,Matemáticas Discretas,2526-2,1,1,jueves,1,contenido,0,2
1,anon_md_2526_2_1_001,Matemáticas Discretas,2526-2,1,2,martes,2,contenido,2,2
1,anon_md_2526_2_1_001,Matemáticas Discretas,2526-2,1,2,jueves,2,contenido,0,2
1,anon_md_2526_2_1_001,Matemáticas Discretas,2526-2,1,3,martes,2,contenido,1,2
1,anon_md_2526_2_1_001,Matemáticas Discretas,2526-2,1,3,jueves,2,contenido,1,2
1,anon_md_2526_2_1_001,Matemáticas Discretas,2526-2,1,4,martes,3,contenido,0,2
1,anon_md_2526_2_1_001,Matemáticas Discretas,2526-2,1,4,jueves,0,evaluacion,0,2
1,anon_md_2526_2_1_001,Matemáticas Discretas,2526-2,1,5,martes,3,contenido,0,2
1,anon_md_2526_2_1_001,Matemáticas Discretas,2526-2,1,5,jueves,3,contenido,0,2
1,anon_md_2526_2_1_001,Matemáticas Discretas,2526-2,1,6,martes,4,contenido,0,2
1,anon_md_2526_2_1_001,Matemáticas Discretas,2526-2,1,6,jueves,5,contenido,0,2
1,anon_md_2526_2_1_001,Matemáticas Discretas,2526-2,1,7,martes,0,sin_clase,,2
1,anon_md_2526_2_1_001,Matemáticas Discretas,2526-2,1,7,jueves,5,contenido,1,2
1,anon_md_2526_2_1_001,Matemáticas Discretas,2526-2,1,8,martes,6,contenido,0,2
1,anon_md_2526_2_1_001,Matemáticas Discretas,2526-2,1,8,jueves,6,contenido,0,2
1,anon_md_2526_2_1_001,Matemáticas Discretas,2526-2,1,9,martes,6,contenido,1,2
1,anon_md_2526_2_1_001,Matemáticas Discretas,2526-2,1,9,jueves,0,evaluacion,0,2
1,anon_md_2526_2_1_001,Matemáticas Discretas,2526-2,1,10,martes,7,contenido,1,2
1,anon_md_2526_2_1_001,Matemáticas Discretas,2526-2,1,10,jueves,8,contenido,1,2
1,anon_md_2526_2_1_001,Matemáticas Discretas,2526-2,1,11,martes,7,contenido,1,2
1,anon_md_2526_2_1_001,Matemáticas Discretas,2526-2,1,11,jueves,0,evaluacion,0,2
1,anon_md_2526_2_1_001,Matemáticas Discretas,2526-2,1,12,martes,0,evaluacion,0,2
1,anon_md_2526_2_1_001,Matemáticas Discretas,2526-2,1,12,jueves,0,administrativa,0,2
2,anon_md_2526_2_1_002,Matemáticas Discretas,2526-2,1,1,martes,0,administrativa,0,4
2,anon_md_2526_2_1_002,Matemáticas Discretas,2526-2,1,1,jueves,1,contenido,0,4
2,anon_md_2526_2_1_002,Matemáticas Discretas,2526-2,1,2,martes,2,contenido,0,4
2,anon_md_2526_2_1_002,Matemáticas Discretas,2526-2,1,2,jueves,2,contenido,0,4
2,anon_md_2526_2_1_002,Matemáticas Discretas,2526-2,1,3,martes,2,contenido,0,4
2,anon_md_2526_2_1_002,Matemáticas Discretas,2526-2,1,3,jueves,2,contenido,1,4
2,anon_md_2526_2_1_002,Matemáticas Discretas,2526-2,1,4,martes,3,contenido,1,4
2,anon_md_2526_2_1_002,Matemáticas Discretas,2526-2,1,4,jueves,0,evaluacion,0,4
2,anon_md_2526_2_1_002,Matemáticas Discretas,2526-2,1,5,martes,3,contenido,1,4
2,anon_md_2526_2_1_002,Matemáticas Discretas,2526-2,1,5,jueves,3,contenido,0,4
2,anon_md_2526_2_1_002,Matemáticas Discretas,2526-2,1,6,martes,4,contenido,1,4
2,anon_md_2526_2_1_002,Matemáticas Discretas,2526-2,1,6,jueves,5,contenido,1,4
2,anon_md_2526_2_1_002,Matemáticas Discretas,2526-2,1,7,martes,0,sin_clase,,4
2,anon_md_2526_2_1_002,Matemáticas Discretas,2526-2,1,7,jueves,5,contenido,1,4
2,anon_md_2526_2_1_002,Matemáticas Discretas,2526-2,1,8,martes,6,contenido,1,4
2,anon_md_2526_2_1_002,Matemáticas Discretas,2526-2,1,8,jueves,6,contenido,1,4
2,anon_md_2526_2_1_002,Matemáticas Discretas,2526-2,1,9,martes,6,contenido,1,4
2,anon_md_2526_2_1_002,Matemáticas Discretas,2526-2,1,9,jueves,0,evaluacion,0,4
2,anon_md_2526_2_1_002,Matemáticas Discretas,2526-2,1,10,martes,7,contenido,1,4
2,anon_md_2526_2_1_002,Matemáticas Discretas,2526-2,1,10,jueves,8,contenido,1,4
2,anon_md_2526_2_1_002,Matemáticas Discretas,2526-2,1,11,martes,7,contenido,1,4
2,anon_md_2526_2_1_002,Matemáticas Discretas,2526-2,1,11,jueves,0,evaluacion,0,4
2,anon_md_2526_2_1_002,Matemáticas Discretas,2526-2,1,12,martes,0,evaluacion,0,4
2,anon_md_2526_2_1_002,Matemáticas Discretas,2526-2,1,12,jueves,0,administrativa,0,4
3,anon_md_2526_2_1_003,Matemáticas Discretas,2526-2,1,1,martes,0,administrativa,0,4
3,anon_md_2526_2_1_003,Matemáticas Discretas,2526-2,1,1,jueves,1,contenido,0,4
3,anon_md_2526_2_1_003,Matemáticas Discretas,2526-2,1,2,martes,2,contenido,0,4
3,anon_md_2526_2_1_003,Matemáticas Discretas,2526-2,1,2,jueves,2,contenido,0,4
3,anon_md_2526_2_1_003,Matemáticas Discretas,2526-2,1,3,martes,2,contenido,1,4
3,anon_md_2526_2_1_003,Matemáticas Discretas,2526-2,1,3,jueves,2,contenido,0,4
3,anon_md_2526_2_1_003,Matemáticas Discretas,2526-2,1,4,martes,3,contenido,1,4
3,anon_md_2526_2_1_003,Matemáticas Discretas,2526-2,1,4,jueves,0,evaluacion,0,4
3,anon_md_2526_2_1_003,Matemáticas Discretas,2526-2,1,5,martes,3,contenido,0,4
3,anon_md_2526_2_1_003,Matemáticas Discretas,2526-2,1,5,jueves,3,contenido,0,4
3,anon_md_2526_2_1_003,Matemáticas Discretas,2526-2,1,6,martes,4,contenido,0,4
3,anon_md_2526_2_1_003,Matemáticas Discretas,2526-2,1,6,jueves,5,contenido,0,4
3,anon_md_2526_2_1_003,Matemáticas Discretas,2526-2,1,7,martes,0,sin_clase,,4
3,anon_md_2526_2_1_003,Matemáticas Discretas,2526-2,1,7,jueves,5,contenido,1,4
3,anon_md_2526_2_1_003,Matemáticas Discretas,2526-2,1,8,martes,6,contenido,0,4
3,anon_md_2526_2_1_003,Matemáticas Discretas,2526-2,1,8,jueves,6,contenido,0,4
3,anon_md_2526_2_1_003,Matemáticas Discretas,2526-2,1,9,martes,6,contenido,0,4
3,anon_md_2526_2_1_003,Matemáticas Discretas,2526-2,1,9,jueves,0,evaluacion,0,4
3,anon_md_2526_2_1_003,Matemáticas Discretas,2526-2,1,10,martes,7,contenido,0,4
3,anon_md_2526_2_1_003,Matemáticas Discretas,2526-2,1,10,jueves,8,contenido,0,4
3,anon_md_2526_2_1_003,Matemáticas Discretas,2526-2,1,11,martes,7,contenido,0,4
3,anon_md_2526_2_1_003,Matemáticas Discretas,2526-2,1,11,jueves,0,evaluacion,0,4
3,anon_md_2526_2_1_003,Matemáticas Discretas,2526-2,1,12,martes,0,evaluacion,0,4
3,anon_md_2526_2_1_003,Matemáticas Discretas,2526-2,1,12,jueves,0,administrativa,0,4
4,anon_md_2526_2_1_004,Matemáticas Discretas,2526-2,1,1,martes,0,administrativa,0,5
4,anon_md_2526_2_1_004,Matemáticas Discretas,2526-2,1,1,jueves,1,contenido,0,5
4,anon_md_2526_2_1_004,Matemáticas Discretas,2526-2,1,2,martes,2,contenido,2,5
4,anon_md_2526_2_1_004,Matemáticas Discretas,2526-2,1,2,jueves,2,contenido,1,5
4,anon_md_2526_2_1_004,Matemáticas Discretas,2526-2,1,3,martes,2,contenido,0,5
4,anon_md_2526_2_1_004,Matemáticas Discretas,2526-2,1,3,jueves,2,contenido,0,5
4,anon_md_2526_2_1_004,Matemáticas Discretas,2526-2,1,4,martes,3,contenido,0,5
4,anon_md_2526_2_1_004,Matemáticas Discretas,2526-2,1,4,jueves,0,evaluacion,0,5
4,anon_md_2526_2_1_004,Matemáticas Discretas,2526-2,1,5,martes,3,contenido,0,5
4,anon_md_2526_2_1_004,Matemáticas Discretas,2526-2,1,5,jueves,3,contenido,0,5
4,anon_md_2526_2_1_004,Matemáticas Discretas,2526-2,1,6,martes,4,contenido,0,5
4,anon_md_2526_2_1_004,Matemáticas Discretas,2526-2,1,6,jueves,5,contenido,0,5
4,anon_md_2526_2_1_004,Matemáticas Discretas,2526-2,1,7,martes,0,sin_clase,,5
4,anon_md_2526_2_1_004,Matemáticas Discretas,2526-2,1,7,jueves,5,contenido,0,5
4,anon_md_2526_2_1_004,Matemáticas Discretas,2526-2,1,8,martes,6,contenido,0,5
4,anon_md_2526_2_1_004,Matemáticas Discretas,2526-2,1,8,jueves,6,contenido,0,5
4,anon_md_2526_2_1_004,Matemáticas Discretas,2526-2,1,9,martes,6,contenido,0,5
4,anon_md_2526_2_1_004,Matemáticas Discretas,2526-2,1,9,jueves,0,evaluacion,0,5
4,anon_md_2526_2_1_004,Matemáticas Discretas,2526-2,1,10,martes,7,contenido,0,5
4,anon_md_2526_2_1_004,Matemáticas Discretas,2526-2,1,10,jueves,8,contenido,0,5
4,anon_md_2526_2_1_004,Matemáticas Discretas,2526-2,1,11,martes,7,contenido,0,5
4,anon_md_2526_2_1_004,Matemáticas Discretas,2526-2,1,11,jueves,0,evaluacion,0,5
4,anon_md_2526_2_1_004,Matemáticas Discretas,2526-2,1,12,martes,0,evaluacion,0,5
4,anon_md_2526_2_1_004,Matemáticas Discretas,2526-2,1,12,jueves,0,administrativa,0,5
5,anon_md_2526_2_1_005,Matemáticas Discretas,2526-2,1,1,martes,0,administrativa,0,2
5,anon_md_2526_2_1_005,Matemáticas Discretas,2526-2,1,1,jueves,1,contenido,0,2
5,anon_md_2526_2_1_005,Matemáticas Discretas,2526-2,1,2,martes,2,contenido,1,2
5,anon_md_2526_2_1_005,Matemáticas Discretas,2526-2,1,2,jueves,2,contenido,0,2
5,anon_md_2526_2_1_005,Matemáticas Discretas,2526-2,1,3,martes,2,contenido,0,2
5,anon_md_2526_2_1_005,Matemáticas Discretas,2526-2,1,3,jueves,2,contenido,0,2
5,anon_md_2526_2_1_005,Matemáticas Discretas,2526-2,1,4,martes,3,contenido,1,2
5,anon_md_2526_2_1_005,Matemáticas Discretas,2526-2,1,4,jueves,0,evaluacion,0,2
