estudiante_id,numero_lista,materia,trimestre,seccion,fecha,semana,tema,participaciones,tipo_participacion,asistencia
anon_052,,Algoritmos y Programación,2526-1,,2025-09-08,1,Introducción a la programación,1.0,,
anon_052,,Algoritmos y Programación,2526-1,,2025-09-10,1,Introducción a la programación,0.0,,
anon_052,,Algoritmos y Programación,2526-1,,2025-09-17,2,Estructuras de Decisión Estructuras de Repetición,1.0,,
anon_052,,Algoritmos y Programación,2526-1,,2025-09-22,3,Manejo de Arreglos,1.0,,
anon_052,,Algoritmos y Programación,2526-1,,2025-09-24,3,Manejo de Arreglos,1.0,,
anon_052,,Algoritmos y Programación,2526-1,,2025-09-29,4,Pase de parámetros [Resolución de ejercicios],0.0,,
anon_052,,Algoritmos y Programación,2526-1,,2025-10-08,5,"Clases, objetos y mensajes",0.0,,
anon_052,,Algoritmos y Programación,2526-1,,2025-10-15,6,Concepto de encapsulamiento,0.0,,
anon_052,,Algoritmos y Programación,2526-1,,2025-10-22,7,"[Día de Júbilo, no hay clase] 7. Concepto de encapsulamiento (cont.)",1.0,,
anon_052,,Algoritmos y Programación,2526-1,,2025-10-27,8,Entrada de datos Recursividad,0.0,,
anon_052,,Algoritmos y Programación,2526-1,,2025-10-29,8,Entrada de datos Recursividad,2.0,,
anon_052,,Algoritmos y Programación,2526-1,,2025-11-03,9,Métodos de ordenamiento y búsqueda,0.0,,
anon_052,,Algoritmos y Programación,2526-1,,2025-11-10,10,10. Métodos de ordenamiento y búsqueda (cont.),0.0,,
anon_052,,Algoritmos y Programación,2526-1,,2025-11-12,10,10. Métodos de ordenamiento y búsqueda (cont.),1.0,,
anon_052,,Algoritmos y Programación,2526-1,,2025-11-17,11,,1.0,,
anon_173,,Algoritmos y Programación,2526-1,,2025-09-08,1,Introducción a la programación,1.0,,
anon_173,,Algoritmos y Programación,2526-1,,2025-09-10,1,Introducción a la programación,0.0,,
anon_173,,Algoritmos y Programación,2526-1,,2025-09-17,2,Estructuras de Decisión Estructuras de Repetición,0.0,,
anon_173,,Algoritmos y Programación,2526-1,,2025-09-22,3,Manejo de Arreglos,2.0,,
anon_173,,Algoritmos y Programación,2526-1,,2025-09-24,3,Manejo de Arreglos,1.0,,
anon_173,,Algoritmos y Programación,2526-1,,2025-09-29,4,Pase de parámetros [Resolución de ejercicios],2.0,,
anon_173,,Algoritmos y Programación,2526-1,,2025-10-08,5,"Clases, objetos y mensajes",0.0,,
anon_173,,Algoritmos y Programación,2526-1,,2025-10-15,6,Concepto de encapsulamiento,1.0,,
anon_173,,Algoritmos y Programación,2526-1,,2025-10-22,7,"[Día de Júbilo, no hay clase] 7. Concepto de encapsulamiento (cont.)",0.0,,
anon_173,,Algoritmos y Programación,2526-1,,2025-10-27,8,Entrada de datos Recursividad,0.0,,
anon_173,,Algoritmos y Programación,2526-1,,2025-10-29,8,Entrada de datos Recursividad,0.0,,
anon_173,,Algoritmos y Programación,2526-1,,2025-11-03,9,Métodos de ordenamiento y búsqueda,4.0,,
anon_173,,Algoritmos y Programación,2526-1,,2025-11-10,10,10. Métodos de ordenamiento y búsqueda (cont.),1.0,,
anon_173,,Algoritmos y Programación,2526-1,,2025-11-12,10,10. Métodos de ordenamiento y búsqueda (cont.),1.0,,
anon_173,,Algoritmos y Programación,2526-1,,2025-11-17,11,,0.0,,
anon_142,,Algoritmos y Programación,2526-1,,2025-09-08,1,Introducción a la programación,0.0,,
anon_142,,Algoritmos y Programación,2526-1,,2025-09-10,1,Introducción a la programación,1.0,,
anon_142,,Algoritmos y Programación,2526-1,,2025-09-17,2,Estructuras de Decisión Estructuras de Repetición,0.0,,
anon_142,,Algoritmos y Programación,2526-1,,2025-09-22,3,Manejo de Arreglos,1.0,,
anon_142,,Algoritmos y Programación,2526-1,,2025-09-24,3,Manejo de Arreglos,0.0,,
anon_142,,Algoritmos y Programación,2526-1,,2025-09-29,4,Pase de parámetros [Resolución de ejercicios],3.0,,
anon_142,,Algoritmos y Programación,2526-1,,2025-10-08,5,"Clases, objetos y mensajes",1.0,,
anon_142,,Algoritmos y Programación,2526-1,,2025-10-15,6,Concepto de encapsulamiento,0.0,,
anon_142,,Algoritmos y Programación,2526-1,,2025-10-22,7,"[Día de Júbilo, no hay clase] 7. Concepto de encapsulamiento (cont.)",1.0,,
anon_142,,Algoritmos y Programación,2526-1,,2025-10-27,8,Entrada de datos Recursividad,1.0,,
anon_142,,Algoritmos y Programación,2526-1,,2025-10-29,8,Entrada de datos Recursividad,2.0,,
anon_142,,Algoritmos y Programación,2526-1,,2025-11-03,9,Métodos de ordenamiento y búsqueda,1.0,,
anon_142,,Algoritmos y Programación,2526-1,,2025-11-10,10,10. Métodos de ordenamiento y búsqueda (cont.),0.0,,
anon_142,,Algoritmos y Programación,2526-1,,2025-11-12,10,10. Métodos de ordenamiento y búsqueda (cont.),1.0,,
anon_142,,Algoritmos y Programación,2526-1,,2025-11-17,11,,3.0,,
anon_222,,Algoritmos y Programación,2526-1,,2025-09-08,1,Introducción a la programación,1.0,,
anon_222,,Algoritmos y Programación,2526-1,,2025-09-10,1,Introducción a la programación,0.0,,
