estudiante_id,numero_lista,materia,trimestre,seccion,fecha,semana,tema,participaciones,tipo_participacion,asistencia
anon_159,,Computación Emergente,2526-2,,,1,[Asuntos administrativos y normas del curso] | Antecedentes y definición de una red neuronal artificial.,0.0,,
anon_159,,Computación Emergente,2526-2,,,2,Retropropagación (backpropagation) | Redes a Capas | Redes a Capas,1.0,,
anon_159,,Computación Emergente,2526-2,,,3,Tipos de entrenamiento | Aplicaciones de Redes Neurales | Aplicaciones de Redes Neurales,0.0,,
anon_159,,Computación Emergente,2526-2,,,4,Aplicaciones de Redes Neurales | Aplicaciones de Redes Neurales | Aplicaciones de Redes Neurales,0.0,,
anon_159,,Computación Emergente,2526-2,,,5,,0.0,,
anon_159,,Computación Emergente,2526-2,,,6,Componentes de un algoritmo genético simple,0.0,,
anon_159,,Computación Emergente,2526-2,,,7,[Carnaval – no hay clase] | Algoritmo genético modificado,0.0,,
anon_159,,Computación Emergente,2526-2,,,8,Aplicaciones de algoritmos genéticos,0.0,,
anon_159,,Computación Emergente,2526-2,,,9,Autómatas,0.0,,
anon_159,,Computación Emergente,2526-2,,,10,Autómatas celulares | Tipos de autómatas celulares,0.0,,
anon_159,,Computación Emergente,2526-2,,,11,Tipos de Vecindades | Tipos de Vecindades,0.0,,
anon_159,,Computación Emergente,2526-2,,,12,[Revisión de notas],0.0,,
anon_037,,Computación Emergente,2526-2,,,1,[Asuntos administrativos y normas del curso] | Antecedentes y definición de una red neuronal artificial.,0.0,,
anon_037,,Computación Emergente,2526-2,,,2,Retropropagación (backpropagation) | Redes a Capas | Redes a Capas,0.0,,
anon_037,,Computación Emergente,2526-2,,,3,Tipos de entrenamiento | Aplicaciones de Redes Neurales | Aplicaciones de Redes Neurales,0.0,,
anon_037,,Computación Emergente,2526-2,,,4,Aplicaciones de Redes Neurales | Aplicaciones de Redes Neurales | Aplicaciones de Redes Neurales,0.0,,
anon_037,,Computación Emergente,2526-2,,,5,,0.0,,
anon_037,,Computación Emergente,2526-2,,,6,Componentes de un algoritmo genético simple,0.0,,
anon_037,,Computación Emergente,2526-2,,,7,[Carnaval – no hay clase] | Algoritmo genético modificado,0.0,,
anon_037,,Computación Emergente,2526-2,,,8,Aplicaciones de algoritmos genéticos,0.0,,
anon_037,,Computación Emergente,2526-2,,,9,Autómatas,0.0,,
anon_037,,Computación Emergente,2526-2,,,10,Autómatas celulares | Tipos de autómatas celulares,0.0,,
anon_037,,Computación Emergente,2526-2,,,11,Tipos de Vecindades | Tipos de Vecindades,0.0,,
anon_037,,Computación Emergente,2526-2,,,12,[Revisión de notas],0.0,,
anon_005,,Computación Emergente,2526-2,,,1,[Asuntos administrativos y normas del curso] | Antecedentes y definición de una red neuronal artificial.,0.0,,
