estudiante_id,numero_lista,materia,trimestre,seccion,fecha,semana,tema,participaciones,tipo_participacion,asistencia
anon_217,1,Estructuras de Datos,2425-3,,2025-04-22,1,Introducción al curso. Introducción a las Estructuras de datos dinámicas. Fundamentación: Punteros.,1.0,,
anon_217,1,Estructuras de Datos,2425-3,,2025-04-24,1,Introducción al curso. Introducción a las Estructuras de datos dinámicas. Fundamentación: Punteros.,0.0,,
anon_217,1,Estructuras de Datos,2425-3,,2025-04-29,2,Listas enlazadas,1.0,,
anon_217,1,Estructuras de Datos,2425-3,,2025-05-06,3,Listas dobles | Listas circulares,0.0,,
anon_217,1,Estructuras de Datos,2425-3,,2025-05-08,3,Listas dobles | Listas circulares,1.0,,
anon_217,1,Estructuras de Datos,2425-3,,2025-05-13,4,Pilas,2.0,,
anon_217,1,Estructuras de Datos,2425-3,,2025-05-15,4,Pilas,1.0,,
anon_217,1,Estructuras de Datos,2425-3,,2025-05-20,5,Colas,1.0,,
anon_217,1,Estructuras de Datos,2425-3,,2025-05-22,5,Colas,0.0,,
anon_217,1,Estructuras de Datos,2425-3,,2025-05-29,6,Complejidad en tiempo. Complejidad en espacio.,4.0,,
anon_217,1,Estructuras de Datos,2425-3,,2025-06-03,7,Árboles Generales,1.0,,
anon_217,1,Estructuras de Datos,2425-3,,2025-06-10,8,Árboles binarios,3.0,,
anon_217,1,Estructuras de Datos,2425-3,,2025-06-12,8,Árboles binarios,0.0,,
anon_217,1,Estructuras de Datos,2425-3,,2025-06-17,9,Árboles binarios de búsqueda,2.0,,
anon_217,1,Estructuras de Datos,2425-3,,2025-06-19,9,Árboles binarios de búsqueda,5.0,,
anon_217,1,Estructuras de Datos,2425-3,,2025-06-26,10,Expresiones matemáticas,3.0,,
anon_217,1,Estructuras de Datos,2425-3,,2025-07-01,11,Árboles B,4.0,,
anon_217,1,Estructuras de Datos,2425-3,,2025-07-08,12,Árboles balanceados (AVL),7.0,,
anon_084,2,Estructuras de Datos,2425-3,,2025-04-22,1,Introducción al curso. Introducción a las Estructuras de datos dinámicas. Fundamentación: Punteros.,1.0,,
anon_084,2,Estructuras de Datos,2425-3,,2025-04-24,1,Introducción al curso. Introducción a las Estructuras de datos dinámicas. Fundamentación: Punteros.,2.0,,
anon_084,2,Estructuras de Datos,2425-3,,2025-04-29,2,Listas enlazadas,1.0,,
anon_084,2,Estructuras de Datos,2425-3,,2025-05-06,3,Listas dobles | Listas circulares,1.0,,
anon_084,2,Estructuras de Datos,2425-3,,2025-05-08,3,Listas dobles | Listas circulares,1.0,,
anon_084,2,Estructuras de Datos,2425-3,,2025-05-13,4,Pilas,0.0,,
anon_084,2,Estructuras de Datos,2425-3,,2025-05-15,4,Pilas,0.0,,
anon_084,2,Estructuras de Datos,2425-3,,2025-05-20,5,Colas,1.0,,
anon_084,2,Estructuras de Datos,2425-3,,2025-05-22,5,Colas,0.0,,
anon_084,2,Estructuras de Datos,2425-3,,2025-05-29,6,Complejidad en tiempo. Complejidad en espacio.,4.0,,
anon_084,2,Estructuras de Datos,2425-3,,2025-06-03,7,Árboles Generales,1.0,,
anon_084,2,Estructuras de Datos,2425-3,,2025-06-10,8,Árboles binarios,2.0,,
anon_084,2,Estructuras de Datos,2425-3,,2025-06-12,8,Árboles binarios,0.0,,
anon_084,2,Estructuras de Datos,2425-3,,2025-06-17,9,Árboles binarios de búsqueda,3.0,,
anon_084,2,Estructuras de Datos,2425-3,,2025-06-19,9,Árboles binarios de búsqueda,6.0,,
anon_084,2,Estructuras de Datos,2425-3,,2025-06-26,10,Expresiones matemáticas,1.0,,
anon_084,2,Estructuras de Datos,2425-3,,2025-07-01,11,Árboles B,1.0,,
anon_084,2,Estructuras de Datos,2425-3,,2025-07-08,12,Árboles balanceados (AVL),2.0,,
anon_064,3,Estructuras de Datos,2425-3,,2025-04-22,1,Introducción al curso. Introducción a las Estructuras de datos dinámicas. Fundamentación: Punteros.,0.0,,
anon_064,3,Estructuras de Datos,2425-3,,2025-04-24,1,Introducción al curso. Introducción a las Estructuras de datos dinámicas. Fundamentación: Punteros.,0.0,,
anon_064,3,Estructuras de Datos,2425-3,,2025-04-29,2,Listas enlazadas,0.0,,
anon_064,3,Estructuras de Datos,2425-3,,2025-05-06,3,Listas dobles | Listas circulares,0.0,,
anon_064,3,Estructuras de Datos,2425-3,,2025-05-08,3,Listas dobles | Listas circulares,0.0,,
anon_064,3,Estructuras de Datos,2425-3,,2025-05-13,4,Pilas,0.0,,
anon_064,3,Estructuras de Datos,2425-3,,2025-05-15,4,Pilas,0.0,,
anon_064,3,Estructuras de Datos,2425-3,,2025-05-20,5,Colas,0.0,,
anon_064,3,Estructuras de Datos,2425-3,,2025-05-22,5,Colas,0.0,,
anon_064,3,Estructuras de Datos,2425-3,,2025-05-29,6,Complejidad en tiempo. Complejidad en espacio.,0.0,,
anon_064,3,Estructuras de Datos,2425-3,,2025-06-03,7,Árboles Generales,0.0,,
anon_064,3,Estructuras de Datos,2425-3,,2025-06-10,8,Árboles binarios,0.0,,
anon_064,3,Estructuras de Datos,2425-3,,2025-06-12,8,Árboles binarios,0.0,,
anon_064,3,Estructuras de Datos,2425-3,,2025-06-17,9,Árboles binarios de búsqueda,0.0,,
anon_064,3,Estructuras de Datos,2425-3,,2025-06-19,9,Árboles binarios de búsqueda,0.0,,
anon_064,3,Estructuras de Datos,2425-3,,2025-06-26,10,Expresiones matemáticas,0.0,,
anon_064,3,Estructuras de Datos,2425-3,,2025-07-01,11,Árboles B,0.0,,
anon_064,3,Estructuras de Datos,2425-3,,2025-07-08,12,Árboles balanceados (AVL),0.0,,
anon_289,4,Estructuras de Datos,2425-3,,2025-04-22,1,Introducción al curso. Introducción a las Estructuras de datos dinámicas. Fundamentación: Punteros.,1.0,,
anon_289,4,Estructuras de Datos,2425-3,,2025-04-24,1,Introducción al curso. Introducción a las Estructuras de datos dinámicas. Fundamentación: Punteros.,0.0,,
anon_289,4,Estructuras de Datos,2425-3,,2025-04-29,2,Listas enlazadas,1.0,,
anon_289,4,Estructuras de Datos,2425-3,,2025-05-06,3,Listas dobles | Listas circulares,0.0,,
anon_289,4,Estructuras de Datos,2425-3,,2025-05-08,3,Listas dobles | Listas circulares,1.0,,
anon_289,4,Estructuras de Datos,2425-3,,2025-05-13,4,Pilas,0.0,,
anon_289,4,Estructuras de Datos,2425-3,,2025-05-15,4,Pilas,0.0,,
anon_289,4,Estructuras de Datos,2425-3,,2025-05-20,5,Colas,0.0,,
anon_289,4,Estructuras de Datos,2425-3,,2025-05-22,5,Colas,0.0,,
anon_289,4,Estructuras de Datos,2425-3,,2025-05-29,6,Complejidad en tiempo. Complejidad en espacio.,0.0,,
anon_289,4,Estructuras de Datos,2425-3,,2025-06-03,7,Árboles Generales,0.0,,
anon_289,4,Estructuras de Datos,2425-3,,2025-06-10,8,Árboles binarios,0.0,,
anon_289,4,Estructuras de Datos,2425-3,,2025-06-12,8,Árboles binarios,0.0,,
anon_289,4,Estructuras de Datos,2425-3,,2025-06-17,9,Árboles binarios de búsqueda,0.0,,
anon_289,4,Estructuras de Datos,2425-3,,2025-06-19,9,Árboles binarios de búsqueda,0.0,,
anon_289,4,Estructuras de Datos,2425-3,,2025-06-26,10,Expresiones matemáticas,0.0,,
anon_289,4,Estructuras de Datos,2425-3,,2025-07-01,11,Árboles B,0.0,,
anon_289,4,Estructuras de Datos,2425-3,,2025-07-08,12,Árboles balanceados (AVL),0.0,,
