materia,hito,fuente,rmse,mae,r2
Algoritmos y Programación,4,modelo,3.3495,2.5218,0.6699
Algoritmos y Programación,4,media,6.1151,4.6814,-0.1001
Algoritmos y Programación,4,extrapolación,5.7018,3.7075,0.0436
Algoritmos y Programación,6,modelo,2.7266,2.1337,0.7813
Algoritmos y Programación,6,media,6.1151,4.6814,-0.1001
Algoritmos y Programación,6,extrapolación,3.2899,2.1565,0.6816
Algoritmos y Programación,8,modelo,1.3789,1.0932,0.9441
Algoritmos y Programación,8,media,6.1151,4.6814,-0.1001
Algoritmos y Programación,8,extrapolación,2.804,1.7517,0.7687
Computación Emergente,4,modelo,2.4956,1.6895,0.7844
Computación Emergente,4,media,5.7853,3.9959,-0.1584
Computación Emergente,4,extrapolación,3.8765,2.1264,0.4799
Computación Emergente,6,modelo,2.2284,1.3818,0.8281
Computación Emergente,6,media,5.7853,3.9959,-0.1584
Computación Emergente,6,extrapolación,2.1096,1.1978,0.846
Computación Emergente,8,modelo,1.4392,0.7994,0.9283
Computación Emergente,8,media,5.7853,3.9959,-0.1584
Computación Emergente,8,extrapolación,1.4676,0.7967,0.9255
Estructura de Datos,4,modelo,5.201,3.3615,0.5509
Estructura de Datos,4,media,7.8452,5.4797,-0.0218
Estructura de Datos,4,extrapolación,5.743,3.3889,0.4524
Estructura de Datos,6,modelo,3.7269,2.1747,0.7694
Estructura de Datos,6,media,7.8452,5.4797,-0.0218
Estructura de Datos,6,extrapolación,3.8944,2.2407,0.7482
Estructura de Datos,8,modelo,3.2457,1.8764,0.8251
Estructura de Datos,8,media,7.8452,5.4797,-0.0218
Estructura de Datos,8,extrapolación,2.8288,1.4491,0.8671
