semilla,materia,hito,rmse,mae,r2
42,Algoritmos y Programación,4,3.7111,2.788,0.5948
42,Algoritmos y Programación,6,3.0211,2.1638,0.7315
42,Algoritmos y Programación,8,1.2278,0.8431,0.9557
42,Computación Emergente,4,2.5958,1.7495,0.7668
42,Computación Emergente,6,2.2807,1.342,0.82
42,Computación Emergente,8,1.2143,0.6755,0.949
42,Estructura de Datos,4,6.6253,4.7792,0.2712
42,Estructura de Datos,6,4.8652,3.3703,0.607
42,Estructura de Datos,8,3.952,2.7066,0.7407
7,Algoritmos y Programación,4,3.3269,2.5286,0.6744
7,Algoritmos y Programación,6,2.3373,1.7363,0.8393
7,Algoritmos y Programación,8,1.3368,0.8737,0.9474
7,Computación Emergente,4,2.8175,1.9102,0.7252
7,Computación Emergente,6,2.5554,1.5999,0.774
7,Computación Emergente,8,1.39,0.8094,0.9331
7,Estructura de Datos,4,5.9609,4.3161,0.4101
7,Estructura de Datos,6,4.5516,3.1556,0.656
7,Estructura de Datos,8,3.7578,2.5213,0.7656
123,Algoritmos y Programación,4,3.0698,2.222,0.7228
123,Algoritmos y Programación,6,2.3164,1.6247,0.8421
123,Algoritmos y Programación,8,1.2474,0.9084,0.9542
123,Computación Emergente,4,2.6375,1.7432,0.7592
123,Computación Emergente,6,2.3348,1.3558,0.8113
123,Computación Emergente,8,1.2869,0.6661,0.9427
123,Estructura de Datos,4,6.7778,4.8447,0.2373
123,Estructura de Datos,6,4.4944,3.0311,0.6646
123,Estructura de Datos,8,3.6841,2.3661,0.7747
2024,Algoritmos y Programación,4,3.2858,2.4633,0.6824
2024,Algoritmos y Programación,6,2.4623,1.7821,0.8216
2024,Algoritmos y Programación,8,1.297,0.9449,0.9505
2024,Computación Emergente,4,2.5361,1.6778,0.7774
2024,Computación Emergente,6,2.2755,1.4344,0.8208
2024,Computación Emergente,8,1.246,0.7512,0.9463
2024,Estructura de Datos,4,5.5355,3.7684,0.4913
2024,Estructura de Datos,6,4.2972,2.8648,0.6934
2024,Estructura de Datos,8,3.5139,2.3051,0.795
31,Algoritmos y Programación,4,3.8604,2.9623,0.5616
31,Algoritmos y Programación,6,3.2913,2.3297,0.6813
31,Algoritmos y Programación,8,1.2286,0.8504,0.9556
31,Computación Emergente,4,2.7525,1.8751,0.7378
31,Computación Emergente,6,2.4391,1.5037,0.7941
31,Computación Emergente,8,1.7259,1.0642,0.8969
31,Estructura de Datos,4,6.2755,4.5292,0.3462
31,Estructura de Datos,6,4.4922,2.9225,0.665
31,Estructura de Datos,8,3.682,2.3632,0.7749
