materia,hito,rmse_media,rmse_desv,r2_media,r2_desv,rmse_extrapolación,r2_extrapolación,RMSE modelo,R² modelo
Algoritmos y Programación,4,3.377,0.05,0.665,0.01,5.702,0.044,3.38 ± 0.05,0.665 ± 0.010
Algoritmos y Programación,6,2.738,0.06,0.779,0.01,3.29,0.682,2.74 ± 0.06,0.779 ± 0.010
Algoritmos y Programación,8,1.384,0.036,0.944,0.003,2.804,0.769,1.38 ± 0.04,0.944 ± 0.003
Computación Emergente,4,2.576,0.063,0.77,0.011,3.877,0.48,2.58 ± 0.06,0.770 ± 0.011
Computación Emergente,6,2.301,0.065,0.817,0.01,2.11,0.846,2.30 ± 0.07,0.817 ± 0.010
Computación Emergente,8,1.356,0.085,0.936,0.008,1.468,0.925,1.36 ± 0.09,0.936 ± 0.008
Estructura de Datos,4,5.185,0.161,0.553,0.028,5.743,0.452,5.18 ± 0.16,0.553 ± 0.028
Estructura de Datos,6,3.842,0.096,0.755,0.012,3.894,0.748,3.84 ± 0.10,0.755 ± 0.012
Estructura de Datos,8,3.206,0.146,0.829,0.016,2.829,0.867,3.21 ± 0.15,0.829 ± 0.016
Matemáticas Discretas,4,2.972,0.038,0.445,0.014,3.051,0.415,2.97 ± 0.04,0.445 ± 0.014
Matemáticas Discretas,6,2.166,0.136,0.705,0.036,1.918,0.769,2.17 ± 0.14,0.705 ± 0.036
Matemáticas Discretas,8,1.341,0.06,0.887,0.01,1.39,0.879,1.34 ± 0.06,0.887 ± 0.010
