materia,trimestre,seccion,estudiante_id,hito,semilla,total_trimestre_real,prediccion_lstm,prediccion_media,prediccion_extrapolacion
Algoritmos y Programación,2425-2,1,anon_001,4,42,2.0,3.6251254,4.0,6.0
Algoritmos y Programación,2425-2,1,anon_002,4,42,2.0,1.4907298,4.0,0.0
Algoritmos y Programación,2425-2,1,anon_003,4,42,17.0,7.7929273,4.0,18.0
Algoritmos y Programación,2425-2,1,anon_004,4,42,2.0,3.6297455,4.0,6.0
Algoritmos y Programación,2425-2,1,anon_005,4,42,10.0,8.815488,4.0,21.0
Algoritmos y Programación,2425-2,1,anon_006,4,42,0.0,1.4842309,4.0,0.0
Algoritmos y Programación,2425-2,1,anon_007,4,42,0.0,1.4830023,4.0,0.0
Algoritmos y Programación,2425-2,1,anon_008,4,42,16.0,6.674368,4.0,15.0
Algoritmos y Programación,2425-2,1,anon_009,4,42,9.0,5.7726855,4.0,12.0
Algoritmos y Programación,2425-2,1,anon_010,4,42,22.0,9.979415,4.0,24.0
Algoritmos y Programación,2425-2,1,anon_011,4,42,6.0,5.743093,4.0,12.0
Algoritmos y Programación,2425-2,1,anon_012,4,42,0.0,1.4801692,4.0,0.0
Algoritmos y Programación,2425-2,1,anon_013,4,42,0.0,1.4803839,4.0,0.0
Algoritmos y Programación,2425-2,1,anon_014,4,42,23.0,17.190775,4.0,45.0
Algoritmos y Programación,2425-2,1,anon_015,4,42,24.0,10.876711,4.0,27.0
Algoritmos y Programación,2425-2,1,anon_016,4,42,1.0,1.9563302,4.0,0.0
Algoritmos y Programación,2425-2,1,anon_017,4,42,1.0,1.4842528,4.0,0.0
Algoritmos y Programación,2425-2,1,anon_018,4,42,17.0,7.7518396,4.0,18.0
Algoritmos y Programación,2425-2,1,anon_019,4,42,0.0,1.4880561,4.0,0.0
Algoritmos y Programación,2425-2,1,anon_020,4,42,24.0,13.039015,4.0,33.0
Algoritmos y Programación,2425-2,1,anon_021,4,42,4.0,5.7945623,4.0,12.0
Algoritmos y Programación,2425-2,1,anon_022,4,42,2.0,1.4960237,4.0,0.0
Algoritmos y Programación,2425-2,1,anon_023,4,42,19.0,12.883434,4.0,33.0
Algoritmos y Programación,2425-2,1,anon_024,4,42,7.0,5.8066106,4.0,12.0
Algoritmos y Programación,2425-2,1,anon_025,4,42,5.0,6.731132,4.0,15.0
Algoritmos y Programación,2425-2,1,anon_026,4,42,0.0,1.5103396,4.0,0.0
Algoritmos y Programación,2425-2,1,anon_027,4,42,10.0,4.724168,4.0,9.0
Algoritmos y Programación,2425-2,1,anon_028,4,42,18.0,14.082435,4.0,36.0
Algoritmos y Programación,2425-2,1,anon_029,4,42,0.0,1.5231873,4.0,0.0
Algoritmos y Programación,2425-2,1,anon_030,4,42,15.0,10.854623,4.0,27.0
Algoritmos y Programación,2425-2,2,anon_031,4,42,1.0,2.700526,4.0,3.0
Algoritmos y Programación,2425-2,2,anon_032,4,42,3.0,4.768057,4.0,9.0
Algoritmos y Programación,2425-2,2,anon_033,4,42,20.0,14.147841,4.0,36.0
Algoritmos y Programación,2425-2,2,anon_034,4,42,4.0,5.8727565,4.0,12.0
Algoritmos y Programación,2425-2,2,anon_035,4,42,2.0,3.670145,4.0,6.0
Algoritmos y Programación,2425-2,2,anon_036,4,42,8.0,6.953112,4.0,15.0
Algoritmos y Programación,2425-2,2,anon_037,4,42,0.0,1.5621145,4.0,0.0
Algoritmos y Programación,2425-2,2,anon_038,4,42,1.0,2.741889,4.0,3.0
Algoritmos y Programación,2425-2,2,anon_039,4,42,7.0,4.7538605,4.0,9.0
Algoritmos y Programación,2425-2,2,anon_040,4,42,2.0,1.9710857,4.0,0.0
Algoritmos y Programación,2425-2,2,anon_041,4,42,0.0,1.6262006,4.0,0.0
Algoritmos y Programación,2425-2,2,anon_042,4,42,8.0,2.6538584,4.0,3.0
Algoritmos y Programación,2425-2,2,anon_043,4,42,9.0,7.910879,4.0,18.0
Algoritmos y Programación,2425-2,2,anon_044,4,42,13.0,10.002889,4.0,24.0
Algoritmos y Programación,2425-2,2,anon_045,4,42,10.0,7.0874867,4.0,15.0
Algoritmos y Programación,2425-2,2,anon_046,4,42,0.0,1.63492,4.0,0.0
Algoritmos y Programación,2425-2,2,anon_047,4,42,5.0,6.8898354,4.0,15.0
Algoritmos y Programación,2425-2,2,anon_048,4,42,3.0,2.6831555,4.0,3.0
Algoritmos y Programación,2425-2,2,anon_049,4,42,1.0,1.6426239,4.0,0.0
Algoritmos y Programación,2425-2,2,anon_050,4,42,3.0,4.7949514,4.0,9.0
Algoritmos y Programación,2425-2,2,anon_051,4,42,2.0,1.6484748,4.0,0.0
Algoritmos y Programación,2425-2,2,anon_052,4,42,17.0,10.983269,4.0,27.0
Algoritmos y Programación,2425-2,2,anon_053,4,42,3.0,1.5899196,4.0,0.0
Algoritmos y Programación,2425-2,2,anon_054,4,42,3.0,3.7061453,4.0,6.0
Algoritmos y Programación,2425-2,2,anon_055,4,42,10.0,6.872341,4.0,15.0
Algoritmos y Programación,2425-2,2,anon_056,4,42,0.0,1.6640468,4.0,0.0
Algoritmos y Programación,2425-2,2,anon_057,4,42,11.0,6.9894757,4.0,15.0
Algoritmos y Programación,2425-2,2,anon_058,4,42,0.0,1.6701283,4.0,0.0
Algoritmos y Programación,2425-2,2,anon_059,4,42,5.0,5.0155888,4.0,9.0
Algoritmos y Programación,2425-2,2,anon_060,4,42,2.0,2.7111464,4.0,3.0
Algoritmos y Programación,2526-1,1,anon_061,4,42,9.0,7.2778053,5.308333396911621,12.0
Algoritmos y Programación,2526-1,1,anon_062,4,42,13.0,10.039121,5.308333396911621,18.0
Algoritmos y Programación,2526-1,1,anon_063,4,42,15.0,8.768577,5.308333396911621,15.0
Algoritmos y Programación,2526-1,1,anon_064,4,42,2.0,4.1683855,5.308333396911621,3.0
Algoritmos y Programación,2526-1,1,anon_065,4,42,9.0,6.594124,5.308333396911621,9.0
Algoritmos y Programación,2526-1,1,anon_066,4,42,2.0,5.409233,5.308333396911621,6.0
Algoritmos y Programación,2526-1,1,anon_067,4,42,11.0,7.803462,5.308333396911621,12.0
Algoritmos y Programación,2526-1,1,anon_068,4,42,1.0,3.4780812,5.308333396911621,3.0
Algoritmos y Programación,2526-1,1,anon_069,4,42,12.0,11.26096,5.308333396911621,21.0
Algoritmos y Programación,2526-1,1,anon_070,4,42,5.0,8.667009,5.308333396911621,15.0
Algoritmos y Programación,2526-1,1,anon_071,4,42,1.0,3.9594345,5.308333396911621,3.0
Algoritmos y Programación,2526-1,1,anon_072,4,42,1.0,3.5466864,5.308333396911621,3.0
Algoritmos y Programación,2526-1,1,anon_073,4,42,1.0,3.897786,5.308333396911621,3.0
Algoritmos y Programación,2526-1,1,anon_074,4,42,8.0,3.8667428,5.308333396911621,3.0
Algoritmos y Programación,2526-1,1,anon_075,4,42,2.0,3.3185446,5.308333396911621,3.0
Algoritmos y Programación,2526-1,1,anon_076,4,42,4.0,5.7308245,5.308333396911621,9.0
Algoritmos y Programación,2526-1,1,anon_077,4,42,1.0,3.7729392,5.308333396911621,3.0
Algoritmos y Programación,2526-1,1,anon_078,4,42,2.0,5.094675,5.308333396911621,6.0
Algoritmos y Programación,2526-1,1,anon_079,4,42,0.0,2.0697796,5.308333396911621,0.0
Algoritmos y Programación,2526-1,1,anon_080,4,42,10.0,8.876623,5.308333396911621,15.0
Algoritmos y Programación,2526-1,1,anon_081,4,42,1.0,3.646824,5.308333396911621,3.0
Algoritmos y Programación,2526-1,1,anon_082,4,42,0.0,2.0235107,5.308333396911621,0.0
Algoritmos y Programación,2526-1,1,anon_083,4,42,7.0,8.331739,5.308333396911621,15.0
Algoritmos y Programación,2526-1,1,anon_084,4,42,1.0,3.5520344,5.308333396911621,3.0
Algoritmos y Programación,2526-1,1,anon_085,4,42,0.0,1.9348686,5.308333396911621,0.0
Algoritmos y Programación,2526-1,1,anon_086,4,42,1.0,3.489174,5.308333396911621,3.0
Algoritmos y Programación,2526-1,1,anon_087,4,42,1.0,3.4579794,5.308333396911621,3.0
Algoritmos y Programación,2526-2,1,anon_088,4,42,0.0,2.569572,5.974359035491943,0.0
Algoritmos y Programación,2526-2,1,anon_089,4,42,4.0,6.1461716,5.974359035491943,9.0
Algoritmos y Programación,2526-2,1,anon_090,4,42,0.0,2.5206664,5.974359035491943,0.0
Algoritmos y Programación,2526-2,1,anon_091,4,42,10.0,9.436324,5.974359035491943,18.0
Algoritmos y Programación,2526-2,1,anon_092,4,42,0.0,2.4726434,5.974359035491943,0.0
Algoritmos y Programación,2526-2,1,anon_093,4,42,1.0,3.602346,5.974359035491943,3.0
Algoritmos y Programación,2526-2,1,anon_094,4,42,5.0,7.204733,5.974359035491943,12.0
Algoritmos y Programación,2526-2,1,anon_095,4,42,0.0,2.4031568,5.974359035491943,0.0
Algoritmos y Programación,2526-2,1,anon_096,4,42,1.0,3.6402345,5.974359035491943,3.0
Algoritmos y Programación,2526-2,1,anon_097,4,42,0.0,2.359076,5.974359035491943,0.0
Algoritmos y Programación,2526-2,1,anon_098,4,42,3.0,3.5838656,5.974359035491943,3.0
Algoritmos y Programación,2526-2,1,anon_099,4,42,0.0,2.315296,5.974359035491943,0.0
Algoritmos y Programación,2526-2,1,anon_100,4,42,0.0,2.2971263,5.974359035491943,0.0
Algoritmos y Programación,2526-2,1,anon_101,4,42,1.0,3.5031204,5.974359035491943,3.0
Algoritmos y Programación,2526-2,1,anon_102,4,42,2.0,3.3340075,5.974359035491943,3.0
Algoritmos y Programación,2526-2,1,anon_103,4,42,0.0,2.210034,5.974359035491943,0.0
Algoritmos y Programación,2526-2,1,anon_104,4,42,0.0,2.1959221,5.974359035491943,0.0
Algoritmos y Programación,2526-2,1,anon_105,4,42,5.0,6.9389734,5.974359035491943,12.0
Algoritmos y Programación,2526-2,1,anon_106,4,42,1.0,3.4180403,5.974359035491943,3.0
Algoritmos y Programación,2526-2,1,anon_107,4,42,5.0,7.6037006,5.974359035491943,15.0
Algoritmos y Programación,2526-2,1,anon_108,4,42,1.0,2.1617427,5.974359035491943,0.0
Algoritmos y Programación,2526-2,1,anon_109,4,42,5.0,6.4849443,5.974359035491943,12.0
Algoritmos y Programación,2526-2,1,anon_110,4,42,2.0,3.3501127,5.974359035491943,3.0
Algoritmos y Programación,2526-2,1,anon_111,4,42,2.0,3.1834843,5.974359035491943,3.0
Algoritmos y Programación,2526-2,1,anon_112,4,42,2.0,4.571503,5.974359035491943,6.0
Algoritmos y Programación,2526-2,1,anon_113,4,42,0.0,2.0479898,5.974359035491943,0.0
Algoritmos y Programación,2526-2,1,anon_114,4,42,4.0,6.7416086,5.974359035491943,12.0
Algoritmos y Programación,2526-2,1,anon_115,4,42,1.0,3.281014,5.974359035491943,3.0
Algoritmos y Programación,2526-2,1,anon_116,4,42,2.0,3.2692893,5.974359035491943,3.0
Algoritmos y Programación,2526-2,1,anon_117,4,42,1.0,2.066084,5.974359035491943,0.0
Algoritmos y Programación,2526-3,1,anon_118,4,42,8.0,4.3698215,5.017094135284424,12.0
Algoritmos y Programación,2526-3,1,anon_119,4,42,0.0,-0.14039016,5.017094135284424,0.0
Algoritmos y Programación,2526-3,1,anon_120,4,42,0.0,0.14296412,5.017094135284424,0.0
Algoritmos y Programación,2526-3,1,anon_121,4,42,2.0,-0.12383866,5.017094135284424,0.0
Algoritmos y Programación,2526-3,1,anon_122,4,42,5.0,2.1201549,5.017094135284424,6.0
Algoritmos y Programación,2526-3,1,anon_123,4,42,4.0,1.0653107,5.017094135284424,3.0
Algoritmos y Programación,2526-3,1,anon_124,4,42,3.0,0.9780083,5.017094135284424,3.0
Algoritmos y Programación,2526-3,1,anon_125,4,42,1.0,0.99718356,5.017094135284424,3.0
Algoritmos y Programación,2526-3,1,anon_126,4,42,5.0,1.0171354,5.017094135284424,3.0
Algoritmos y Programación,2526-3,1,anon_127,4,42,8.0,5.6125555,5.017094135284424,12.0
Algoritmos y Programación,2526-3,1,anon_128,4,42,2.0,2.3022547,5.017094135284424,6.0
Algoritmos y Programación,2526-3,1,anon_129,4,42,5.0,3.7154908,5.017094135284424,9.0
Algoritmos y Programación,2526-3,1,anon_130,4,42,1.0,1.0905728,5.017094135284424,3.0
Algoritmos y Programación,2526-3,1,anon_131,4,42,5.0,4.2728806,5.017094135284424,9.0
Algoritmos y Programación,2526-3,1,anon_132,4,42,8.0,9.976559,5.017094135284424,18.0
Algoritmos y Programación,2526-3,1,anon_133,4,42,13.0,9.373627,5.017094135284424,18.0
Algoritmos y Programación,2526-3,1,anon_134,4,42,10.0,5.253665,5.017094135284424,12.0
