materia,trimestre,min,max,mean,count
Algoritmos y Programación,2425-2,24,24,24.0,60
Algoritmos y Programación,2526-1,24,24,24.0,27
Algoritmos y Programación,2526-2,24,24,24.0,30
Algoritmos y Programación,2526-3,24,24,24.0,30
Computación Emergente,2425-3,12,12,12.0,73
Computación Emergente,2526-1,24,24,24.0,28
Computación Emergente,2526-2,24,24,24.0,41
Computación Emergente,2526-3,24,24,24.0,40
Estructura de Datos,2425-3,24,24,24.0,30
Estructura de Datos,2526-1,24,24,24.0,30
Estructura de Datos,2526-2,24,24,24.0,18
Estructura de Datos,2526-3,24,24,24.0,30
Matemáticas Discretas,2526-2,24,24,24.0,56
Matemáticas Discretas,2526-3,24,24,24.0,31
