tratamiento,materia,trimestre_prueba,estudiante_id,seccion,hito,total_trimestre_real,prediccion_continua,evidencia_completa
nan,Algoritmos y Programación,2425-2,anon_001,1,4,2.0,2.840077038318065,True
nan,Algoritmos y Programación,2425-2,anon_001,1,6,2.0,2.840077038318065,True
nan,Algoritmos y Programación,2425-2,anon_001,1,8,2.0,2.840077038318065,True
nan,Algoritmos y Programación,2425-2,anon_002,1,4,2.0,2.840077038318065,True
nan,Algoritmos y Programación,2425-2,anon_002,1,6,2.0,2.840077038318065,True
nan,Algoritmos y Programación,2425-2,anon_002,1,8,2.0,2.840077038318065,True
nan,Algoritmos y Programación,2425-2,anon_003,1,4,17.0,8.677506321734416,True
nan,Algoritmos y Programación,2425-2,anon_003,1,6,17.0,9.067694765911643,True
nan,Algoritmos y Programación,2425-2,anon_003,1,8,17.0,8.672535372959825,True
nan,Algoritmos y Programación,2425-2,anon_004,1,4,2.0,2.840077038318065,True
nan,Algoritmos y Programación,2425-2,anon_004,1,6,2.0,2.840077038318065,True
nan,Algoritmos y Programación,2425-2,anon_004,1,8,2.0,2.840077038318065,True
nan,Algoritmos y Programación,2425-2,anon_005,1,4,10.0,6.892618631739804,True
nan,Algoritmos y Programación,2425-2,anon_005,1,6,10.0,6.666761295024926,True
nan,Algoritmos y Programación,2425-2,anon_005,1,8,10.0,4.034893119480472,True
nan,Algoritmos y Programación,2425-2,anon_006,1,4,0.0,2.840077038318065,True
nan,Algoritmos y Programación,2425-2,anon_006,1,6,0.0,2.840077038318065,True
nan,Algoritmos y Programación,2425-2,anon_006,1,8,0.0,2.840077038318065,True
nan,Algoritmos y Programación,2425-2,anon_007,1,4,0.0,2.840077038318065,True
nan,Algoritmos y Programación,2425-2,anon_007,1,6,0.0,2.840077038318065,True
nan,Algoritmos y Programación,2425-2,anon_007,1,8,0.0,2.840077038318065,True
nan,Algoritmos y Programación,2425-2,anon_008,1,4,16.0,8.672535372959825,True
nan,Algoritmos y Programación,2425-2,anon_008,1,6,16.0,6.666761295024926,True
nan,Algoritmos y Programación,2425-2,anon_008,1,8,16.0,8.672535372959825,True
nan,Algoritmos y Programación,2425-2,anon_009,1,4,9.0,5.799326981246219,True
nan,Algoritmos y Programación,2425-2,anon_009,1,6,9.0,1.0121530565491046,True
nan,Algoritmos y Programación,2425-2,anon_009,1,8,9.0,5.799326981246219,True
nan,Algoritmos y Programación,2425-2,anon_010,1,4,22.0,5.799326981246219,True
