materia,hito,rmse_nan,r2_nan,n,rmse_dropna,r2_dropna,rmse_lstm,mae_lstm,r2_lstm,diff_abs_rmse_nan_vs_dropna,diff_abs_r2_nan_vs_dropna
Algoritmos y Programación,4,5.1391913278740144,0.22299648791225402,147,5.1391913278740144,0.22299648791225402,3.3441,2.5245,0.671,0.0,0.0
Algoritmos y Programación,6,5.333072252726875,0.16326421284564285,147,5.333072252726875,0.16326421284564285,2.746,2.1571,0.7782,0.0,0.0
Algoritmos y Programación,8,4.671335792827113,0.3580287439174712,147,4.671335792827113,0.3580287439174712,1.3733,1.0916,0.9445,0.0,0.0
Computación Emergente,4,4.895417274089815,0.17053249117919278,182,4.895417895988141,0.17053228043332225,2.4911,1.6902,0.7852,6.218983257255672e-07,2.107458705324916e-07
Computación Emergente,6,4.893453592431097,0.171197800534017,182,4.893454214578982,0.17119758978814636,2.2286,1.3795,0.8281,6.221478852097562e-07,2.107458706435139e-07
Computación Emergente,8,4.907508601539421,0.16642998117952001,182,4.907509221905488,0.16642977043364937,1.4178,0.8017,0.9304,6.203660669612532e-07,2.107458706435139e-07
Estructura de Datos,4,7.711694352974308,0.012650010655972044,108,7.711694352974308,0.012650010655972044,5.201,3.3615,0.5509,0.0,0.0
Estructura de Datos,6,6.72197226980509,0.24982093153709417,108,6.72197226980509,0.24982093153709417,3.7269,2.1747,0.7694,0.0,0.0
Estructura de Datos,8,7.560367177560527,0.05101950715166714,108,7.560367177560527,0.05101950715166714,3.2457,1.8764,0.8251,0.0,0.0
Matemáticas Discretas,4,3.2345325719902154,0.3431619188729129,87,3.2345325719902154,0.3431619188729129,3.0357,2.5939,0.4214,0.0,0.0
Matemáticas Discretas,6,3.2958400722088323,0.318026458819175,87,3.2958400722088323,0.318026458819175,2.1692,1.7754,0.7046,0.0,0.0
Matemáticas Discretas,8,3.114293482366813,0.3910882709352136,87,3.114293482366813,0.3910882709352136,1.3431,1.0827,0.8868,0.0,0.0
