materia,trimestre_prueba,estudiante_id,seccion,hito,total_trimestre_real,estado_real,prediccion_continua,posterior_0,posterior_1-2,posterior_3-5,posterior_6-11,posterior_12 o más,ess,n_train_fold,n_test_fold,evidencia_anio_que_cursa,evidencia_tamano_grupo,evidencia_participaciones_semana,evidencia_participaciones_semana_anterior
Algoritmos y Programación,2425-2,anon_001,1,4,2.0,1-2,2.840077038318065,0.24718963045322878,0.351119173713316,0.2752786961991983,0.11236211487257512,0.014050384761681833,5,87,60,1,mediano,0,0
Algoritmos y Programación,2425-2,anon_001,1,6,2.0,1-2,2.840077038318065,0.24718963045322878,0.351119173713316,0.2752786961991983,0.11236211487257512,0.014050384761681833,5,87,60,1,mediano,0,0
Algoritmos y Programación,2425-2,anon_001,1,8,2.0,1-2,2.840077038318065,0.24718963045322878,0.351119173713316,0.2752786961991983,0.11236211487257512,0.014050384761681833,5,87,60,1,mediano,0,0
Algoritmos y Programación,2425-2,anon_002,1,4,2.0,1-2,2.840077038318065,0.24718963045322878,0.351119173713316,0.2752786961991983,0.11236211487257512,0.014050384761681833,5,87,60,1,mediano,0,0
Algoritmos y Programación,2425-2,anon_002,1,6,2.0,1-2,2.840077038318065,0.24718963045322878,0.351119173713316,0.2752786961991983,0.11236211487257512,0.014050384761681833,5,87,60,1,mediano,0,0
Algoritmos y Programación,2425-2,anon_002,1,8,2.0,1-2,2.840077038318065,0.24718963045322878,0.351119173713316,0.2752786961991983,0.11236211487257512,0.014050384761681833,5,87,60,1,mediano,0,0
Algoritmos y Programación,2425-2,anon_003,1,4,17.0,12 o más,8.677506321734416,0.0006920415224913495,0.0006920415224913495,0.0006920415224913495,0.9972318339100346,0.0006920415224913495,5,87,60,1,mediano,2,2
Algoritmos y Programación,2425-2,anon_003,1,6,17.0,12 o más,9.067694765911643,0.0005194805194805195,0.0005194805194805195,0.24987012987012988,0.4992207792207792,0.24987012987012988,5,87,60,1,mediano,2,1
Algoritmos y Programación,2425-2,anon_003,1,8,17.0,12 o más,8.672535372959825,0.0010362694300518136,0.0010362694300518136,0.0010362694300518136,0.9958549222797928,0.0010362694300518136,5,87,60,1,mediano,3 o más,2
Algoritmos y Programación,2425-2,anon_004,1,4,2.0,1-2,2.840077038318065,0.24718963045322878,0.351119173713316,0.2752786961991983,0.11236211487257512,0.014050384761681833,5,87,60,1,mediano,0,0
Algoritmos y Programación,2425-2,anon_004,1,6,2.0,1-2,2.840077038318065,0.24718963045322878,0.351119173713316,0.2752786961991983,0.11236211487257512,0.014050384761681833,5,87,60,1,mediano,0,0
Algoritmos y Programación,2425-2,anon_004,1,8,2.0,1-2,2.840077038318065,0.24718963045322878,0.351119173713316,0.2752786961991983,0.11236211487257512,0.014050384761681833,5,87,60,1,mediano,0,0
Algoritmos y Programación,2425-2,anon_005,1,4,10.0,6-11,6.892618631739804,0.00023121387283236996,0.00023121387283236996,0.5551445086705202,0.3331791907514451,0.11121387283236996,5,87,60,1,mediano,3 o más,0
Algoritmos y Programación,2425-2,anon_005,1,6,10.0,6-11,6.666761295024926,0.0002600780234070221,0.12509752925877765,0.24993498049414825,0.6244473342002601,0.0002600780234070221,5,87,60,1,mediano,1,1
Algoritmos y Programación,2425-2,anon_005,1,8,10.0,6-11,4.034893119480472,4.431641923332595e-05,0.34039441613117666,0.48929758475515184,0.17021936627520498,4.431641923332595e-05,5,87,60,1,mediano,0,1
Algoritmos y Programación,2425-2,anon_006,1,4,0.0,0,2.840077038318065,0.24718963045322878,0.351119173713316,0.2752786961991983,0.11236211487257512,0.014050384761681833,5,87,60,1,mediano,0,0
Algoritmos y Programación,2425-2,anon_006,1,6,0.0,0,2.840077038318065,0.24718963045322878,0.351119173713316,0.2752786961991983,0.11236211487257512,0.014050384761681833,5,87,60,1,mediano,0,0
Algoritmos y Programación,2425-2,anon_006,1,8,0.0,0,2.840077038318065,0.24718963045322878,0.351119173713316,0.2752786961991983,0.11236211487257512,0.014050384761681833,5,87,60,1,mediano,0,0
Algoritmos y Programación,2425-2,anon_007,1,4,0.0,0,2.840077038318065,0.24718963045322878,0.351119173713316,0.2752786961991983,0.11236211487257512,0.014050384761681833,5,87,60,1,mediano,0,0
Algoritmos y Programación,2425-2,anon_007,1,6,0.0,0,2.840077038318065,0.24718963045322878,0.351119173713316,0.2752786961991983,0.11236211487257512,0.014050384761681833,5,87,60,1,mediano,0,0
Algoritmos y Programación,2425-2,anon_007,1,8,0.0,0,2.840077038318065,0.24718963045322878,0.351119173713316,0.2752786961991983,0.11236211487257512,0.014050384761681833,5,87,60,1,mediano,0,0
Algoritmos y Programación,2425-2,anon_008,1,4,16.0,12 o más,8.672535372959825,0.0010362694300518136,0.0010362694300518136,0.0010362694300518136,0.9958549222797928,0.0010362694300518136,5,87,60,1,mediano,3 o más,2
Algoritmos y Programación,2425-2,anon_008,1,6,16.0,12 o más,6.666761295024926,0.0002600780234070221,0.12509752925877765,0.24993498049414825,0.6244473342002601,0.0002600780234070221,5,87,60,1,mediano,1,1
Algoritmos y Programación,2425-2,anon_008,1,8,16.0,12 o más,8.672535372959825,0.0010362694300518136,0.0010362694300518136,0.0010362694300518136,0.9958549222797928,0.0010362694300518136,5,87,60,1,mediano,3 o más,2
Algoritmos y Programación,2425-2,anon_009,1,4,9.0,6-11,5.799326981246219,0.2,0.2,0.2,0.2,0.2,5,87,60,2,mediano,2,0
Algoritmos y Programación,2425-2,anon_009,1,6,9.0,6-11,1.0121530565491046,0.5409253884241079,0.3278470206590405,0.13115929656820896,3.414717432132491e-05,3.414717432132491e-05,5,87,60,2,mediano,0,0
Algoritmos y Programación,2425-2,anon_009,1,8,9.0,6-11,5.799326981246219,0.2,0.2,0.2,0.2,0.2,5,87,60,2,mediano,1,1
Algoritmos y Programación,2425-2,anon_010,1,4,22.0,12 o más,5.799326981246219,0.2,0.2,0.2,0.2,0.2,5,87,60,2,mediano,1,3 o más
